sub_period,regime,long_n,sharpe_OFF,sharpe_ON,delta,avg_mult
2021-01-04,bull,427,0.345,0.867,0.522,0.798
2021-07-05,bull,370,2.143,1.854,-0.29,0.832
2022-01-04,NEG,301,-0.952,-1.309,-0.356,0.417
2022-07-05,NEG,293,-0.889,-1.103,-0.213,0.413
2023-01-04,bull,291,1.312,0.781,-0.53,0.905
2023-07-05,bull,336,1.597,1.153,-0.444,0.757
2024-01-04,bull,214,1.712,1.815,0.103,0.963
2024-07-04,bull,248,0.918,1.097,0.179,0.668
2025-01-03,NEG,69,-0.757,-0.742,0.015,0.735
