floor,long_pooled_sharpe,full_pooled_sharpe,long_proxy_maxDD,full_proxy_maxDD,bear_loss_sum,bull_gain_sum,bear_net,worst_long_trade,avg_mult_long
1.0,1.957,1.87,429.4,306.0,-1321.3,4695.6,-343.0,-15.88,1.0
0.5,2.243,2.012,342.6,300.7,-806.2,4065.1,-238.1,-10.6,0.8
0.4,2.284,2.027,325.3,299.7,-703.1,3939.0,-217.2,-10.6,0.76
0.35,2.301,2.033,316.6,299.1,-651.6,3875.9,-206.7,-10.6,0.74
0.3,2.315,2.038,307.9,298.6,-600.1,3812.9,-196.2,-10.6,0.72
0.25,2.326,2.04,299.2,298.1,-548.6,3749.8,-185.7,-10.6,0.7
0.2,2.334,2.042,295.4,297.6,-497.1,3686.7,-175.2,-10.6,0.68
0.15,2.339,2.041,295.1,297.0,-445.6,3623.7,-164.7,-10.6,0.66
0.1,2.339,2.039,294.8,303.1,-394.0,3560.6,-154.2,-10.6,0.64
0.0,2.33,2.029,294.1,317.4,-291.0,3434.5,-133.2,-10.6,0.6
