book,full,frac_pos,dispersion,recent3,n_trades,win_rate,mean_ret_pct,max_month_share,n_months,top2_month_share,readmit_full,readmit_frac_pos,readmit_recent3,readmit_n
R1_funding_extreme,0.722,0.7,1.6107,0.9179,3817,0.531,1.7474,0.3906,57,0.611,0.0355,0.7,-0.0814,1062
R2_funding_contra_crowd,0.9135,0.7,1.7724,1.5773,3398,0.5403,2.1985,0.3487,57,0.5455,0.5552,0.4,0.7405,643
R3_funding_spread_extreme,0.6855,0.7,1.7434,1.1244,3578,0.5321,1.6934,0.43,57,0.6725,-0.2328,0.5,0.1836,823
R4_vol_low,0.521,0.7,1.7612,1.4857,4166,0.5118,1.2309,0.508,57,0.7971,-0.454,0.333,0.6861,1411
R5_vol_high,0.8803,0.7,1.6851,0.7855,3372,0.5436,2.2145,0.3489,57,0.5457,0.4752,0.444,-1.6057,617
R6_oi_build,0.7496,0.8,2.1511,2.0599,3475,0.5324,1.8745,0.4,57,0.6256,-0.03,0.444,0.8732,720
REF_gated,1.0021,0.7,2.1783,1.8643,2755,0.5474,2.387,0.3962,57,0.6197,,,,0
REF_ungated,0.4149,0.7,1.3248,0.6126,5137,0.5059,1.0201,0.4971,57,0.78,,,,0
REF_chop_only,-0.2235,0.3,1.2156,-0.2398,2382,0.458,-0.5607,0.6184,51,1.0153,,,,0
