,hurst_100,hurst_200,hurst_diff_100_50,atr_pct_rank_200,atr_pct_rank_500,bb_width_pct_rank_100,cusum_reset_count_200,ret_skew_50,ret_skew_100,ret_skew_200,ret_kurt_50,ret_kurt_200,range_realized_vol_50,max_dd_window_50,parkinson_vol_20,parkinson_gk_ratio_20,mom_accel_5_20,mom_accel_20_100,ema_spread_atr_20,ret_autocorr_lag1_50,ret_autocorr_lag5_50,vwap_dev_20,vwap_dev_50,volume_mom_ratio_20,volume_cv_50,obv_slope_50,hl_range_ratio_20,fracdiff_logclose_dstat,fracdiff_logvolume_dstat,btc_ret_3d,btc_ret_7d,btc_ret_14d,btc_vol_14d,sym_vs_btc_ret_7d
hurst_100,1.0,0.4111969737454089,0.49292535879900296,0.05683904476031364,0.007746920279083451,-0.03881778893221525,0.019804144419259713,0.0738889738898256,0.014464397265702053,0.0724036657141208,-0.11741090699601338,-0.019287611143511952,0.14062128710561964,-0.17719484003674568,0.09386979610058117,0.0062504337693307585,-0.000283456929123115,-0.004569057847743156,0.017224323189531723,-0.014465675135266644,0.02149686799569957,0.013640224548237753,0.014734335559297386,-0.0670766026360403,-0.043006433990010313,-0.004510941604834681,-0.02367895440795356,0.1120621068259169,-0.0723314417532319,-0.02927830976937641,-0.0739436166873161,-0.07571270389053834,0.015356996721695708,0.048163760562523514
hurst_200,0.4111969737454089,1.0,0.12650279222117017,-0.05430999312626857,-0.0846152883800314,-0.08818204746067013,0.03661723243652217,0.034431584968009875,-0.04218120224740602,0.0002531437365511127,-0.06729020863920808,-0.031659578754581065,0.02152550066137519,-0.13543581535804702,0.00971040164372806,-0.007642045922487637,-0.0008642693980264305,-0.008911863453508407,-0.060350147757621174,-0.013347960587471352,0.062039308561775384,-0.033363753623768734,-0.056561308464215476,-0.05766651450561637,-0.07166333420124377,-0.08397798169686509,-0.028951055829659386,0.13810133320913018,-0.11263547327956583,-0.040279645463951304,-0.07369188882939849,-0.11350822393281368,-0.0011973825328760465,-0.013027176110104486
hurst_diff_100_50,0.49292535879900296,0.12650279222117017,1.0,0.011331115314331942,-0.015277601918618123,0.048792210344448535,0.007796035868189586,0.027558251899628877,0.0008292692419568743,0.027552862847695144,-0.019467244030615866,0.0040840884372737515,0.021528180547052703,-0.06585902455644456,0.004883295841754998,-0.019358650681829227,0.0017511612393993497,-0.007774306892997572,-0.010381691001008449,-0.011836323226778174,-0.04362368462942541,-0.014871062787915768,0.0004542189611221964,-0.002536936170936188,-0.0016451507141581876,-0.04038968934831642,-0.015918112546615282,0.03758130253283143,-0.038416012204596964,-0.05861100499571071,-0.08833439382114572,-0.05408137779471706,-0.018541154375244995,0.03731434851511368
atr_pct_rank_200,0.05683904476031364,-0.05430999312626857,0.011331115314331942,1.0,0.8255367208838812,0.45770601438048364,0.2768335578645962,0.18301899129571786,0.21938046945922507,0.19721808582493006,0.13193599015503765,0.014246016556966282,0.35877549987153473,0.13893595003641876,0.4989405553492677,0.023546959451827484,-0.007860574419625519,-0.0020561456460742675,0.4236991911464526,0.0989009689285818,-0.15420217879011883,0.08658380950049838,0.25112191655515226,0.35690144027082626,0.3087535251357095,0.20078050313672874,0.11290170936512783,0.0006971270107968301,0.13691421514935814,-0.02972043598210118,0.009754235939778826,0.11326064899845545,0.14379472111307703,0.22998840647739854
atr_pct_rank_500,0.007746920279083451,-0.0846152883800314,-0.015277601918618123,0.8255367208838812,1.0,0.31382690673016006,0.5127895093834034,0.18682741275868012,0.2532233635840289,0.31883293727544487,0.11969811118104859,0.09036422101317343,0.4455186068093492,0.00123804081529999,0.5115897671794313,-0.006073137392464087,0.00685260452208371,0.00041931260866554524,0.33570168846142506,0.07760058361739988,-0.1430722716478162,0.059814828079199106,0.18356588564733786,0.23448321110913897,0.2894794272124134,0.15103552237366785,0.06927028119254999,-0.015727014005322913,0.13853305476561475,-0.026744460886007505,-0.0009736142483902943,0.08026497282403554,0.1947511177956232,0.18583750017226286
bb_width_pct_rank_100,-0.03881778893221525,-0.08818204746067013,0.048792210344448535,0.45770601438048364,0.31382690673016006,1.0,-0.009709869325110894,0.04403238625810432,0.03978795096044651,0.04145230221771468,0.13727633503554768,0.017286791715078027,0.10141239613806546,0.048991746601864034,0.34802623388719034,0.24878788006899138,0.0029716439963594797,0.009126481407652091,0.1318265669589913,0.1229287818024465,-0.0644967762599058,0.052986310256080624,0.10925026954645847,0.5299134723977008,0.2002290212935938,0.0827859799440006,0.11235452094902386,0.014668037070429735,0.07783694225272667,-0.09860474150668933,-0.12987458452556916,-0.07083627201875808,0.05002606307903267,0.19042743434678552
cusum_reset_count_200,0.019804144419259713,0.03661723243652217,0.007796035868189586,0.2768335578645962,0.5127895093834034,-0.009709869325110894,1.0,0.10001403642670947,0.17978311043138712,0.29443568298035744,0.05623900081085248,0.14982504127447183,0.4150294696015031,-0.28578299064953333,0.3287945084271751,0.02893548826685817,-0.005995482785275769,-0.014136760936018032,0.001954825471852622,-0.02568268647074696,-0.07294922435765862,-0.038290555858162476,-0.04499963263915499,-0.03537067661966629,0.18541442474236436,0.023621937989877027,-0.028673300305222384,0.023972869223694914,0.031134576142619955,-0.031906512252626716,-0.056839103034991026,-0.0771566221959999,0.21361971896555917,0.030448479937764988
ret_skew_50,0.0738889738898256,0.034431584968009875,0.027558251899628877,0.18301899129571786,0.18682741275868012,0.04403238625810432,0.10001403642670947,1.0,0.661883368578264,0.3768086650181977,0.1295081723407029,0.10845132463542975,0.0905086297473488,0.12683843713948584,0.10471391438025085,0.0884754664257996,-0.002506180962813464,0.0070077863012021875,0.3889595174494248,0.0239451801895588,-0.002932212090384721,0.14524700706839758,0.2743959512049499,0.09978962103359,0.1815661667384793,0.10624568161080306,0.044157204560908714,0.1472918333602789,-0.03681452742527566,0.12407114991271183,0.1725582514744408,0.22564025001510243,-0.15461863717380658,0.2095352890363101
ret_skew_100,0.014464397265702053,-0.04218120224740602,0.0008292692419568743,0.21938046945922507,0.2532233635840289,0.03978795096044651,0.17978311043138712,0.661883368578264,1.0,0.6072595618414132,0.14475707483683906,0.2727545048868515,0.10089101931303693,0.11285839971649973,0.10387487211962029,0.03806075431993646,0.00322695944376942,0.002217824577043707,0.257802283913939,0.047438930950833506,-0.04087386342908445,0.07226138399693452,0.12009758535351836,0.051893342426772106,0.13413083564657463,0.07402435823409186,0.03851253750143416,0.15888185624832535,-0.05296281797402863,0.07804606067019784,0.10941692915861269,0.147165324435017,-0.1893630139803799,0.1556573546614254
ret_skew_200,0.0724036657141208,0.0002531437365511127,0.027552862847695144,0.19721808582493006,0.31883293727544487,0.04145230221771468,0.29443568298035744,0.3768086650181977,0.6072595618414132,1.0,0.1179807767081951,0.5925207682655798,0.11729616326315853,0.001939448544449694,0.11048990292098076,0.029773759447794992,-0.005587735513070026,0.00027823480287449056,0.11747441108554575,0.061208021527140326,0.00983749780952027,0.012028080396441663,0.0342636013520494,0.024818072542338716,0.07555514350006766,0.013961768194031759,0.021403295959350345,0.15756721006770733,-0.05783800563358924,0.01350931213095568,0.028394087331487308,0.04848657637351578,-0.1498994163255464,0.10641331174026884
