# table=direction_asymmetry
symbol,direction,n_trades,wins,win_rate_pct,net_pnl_pct_sum,weighted_pnl_sum,avg_net_pnl_pct,dataset,table
BCHUSDT,LONG,39,12,30.77,-25.0718,-18.6781,-0.6429,iter045_IS,direction_asymmetry
BCHUSDT,SHORT,55,24,43.64,48.6918,53.5283,0.8853,iter045_IS,direction_asymmetry
BCHUSDT,TOTAL,94,36,38.3,23.62,34.8502,0.2513,iter045_IS,direction_asymmetry
BCHUSDT,LONG,21,6,28.57,-7.4413,-4.2379,-0.3543,iter045_OOS,direction_asymmetry
BCHUSDT,SHORT,17,9,52.94,18.1932,15.5455,1.0702,iter045_OOS,direction_asymmetry
BCHUSDT,TOTAL,38,15,39.47,10.7519,11.3076,0.2829,iter045_OOS,direction_asymmetry
TRXUSDT,LONG,42,18,42.86,24.7672,7.3406,0.5897,iter045_IS,direction_asymmetry
TRXUSDT,SHORT,43,11,25.58,-32.0504,-13.1605,-0.7454,iter045_IS,direction_asymmetry
TRXUSDT,TOTAL,85,29,34.12,-7.2832,-5.8199,-0.0857,iter045_IS,direction_asymmetry
TRXUSDT,LONG,22,14,63.64,20.8538,15.0025,0.9479,iter045_OOS,direction_asymmetry
TRXUSDT,SHORT,24,10,41.67,8.3904,8.2283,0.3496,iter045_OOS,direction_asymmetry
TRXUSDT,TOTAL,46,24,52.17,29.2442,23.2308,0.6357,iter045_OOS,direction_asymmetry
ALGOUSDT,LONG,33,8,24.24,-60.4667,-45.2448,-1.8323,iter043_IS_default_ATR_2.0_1.0,direction_asymmetry
ALGOUSDT,SHORT,24,8,33.33,2.8057,6.8191,0.1169,iter043_IS_default_ATR_2.0_1.0,direction_asymmetry
ALGOUSDT,TOTAL,57,16,28.07,-57.661,-38.4257,-1.0116,iter043_IS_default_ATR_2.0_1.0,direction_asymmetry
ALGOUSDT,LONG,26,9,34.62,-55.169,-37.5224,-2.1219,iter045_IS_per_sym_ATR_2.0_1.5,direction_asymmetry
ALGOUSDT,SHORT,27,12,44.44,21.1153,39.9914,0.782,iter045_IS_per_sym_ATR_2.0_1.5,direction_asymmetry
ALGOUSDT,TOTAL,53,21,39.62,-34.0537,2.469,-0.6425,iter045_IS_per_sym_ATR_2.0_1.5,direction_asymmetry

# table=exit_distribution
symbol,direction,n_trades,n_tp,n_sl,n_timeout,n_other,tp_pct,sl_pct,timeout_pct,sl_to_tp_ratio,mean_sl_pnl_pct,mean_tp_pnl_pct,dataset,table
BCHUSDT,LONG,39,9,25,5,0,23.08,64.1,12.82,2.78,-3.959,7.427,iter045_IS,exit_distribution
BCHUSDT,SHORT,55,20,31,4,0,36.36,56.36,7.27,1.55,-3.851,7.862,iter045_IS,exit_distribution
BCHUSDT,BOTH,94,29,56,9,0,30.85,59.57,9.57,1.93,-3.899,7.727,iter045_IS,exit_distribution
BCHUSDT,LONG,21,6,15,0,0,28.57,71.43,0.0,2.5,-3.384,7.22,iter045_OOS,exit_distribution
BCHUSDT,SHORT,17,6,8,3,0,35.29,47.06,17.65,1.33,-3.562,6.404,iter045_OOS,exit_distribution
BCHUSDT,BOTH,38,12,23,3,0,31.58,60.53,7.89,1.92,-3.446,6.812,iter045_OOS,exit_distribution
TRXUSDT,LONG,42,15,24,3,0,35.71,57.14,7.14,1.6,-1.883,3.885,iter045_IS,exit_distribution
TRXUSDT,SHORT,43,10,32,1,0,23.26,74.42,2.33,3.2,-2.37,4.265,iter045_IS,exit_distribution
TRXUSDT,BOTH,85,25,56,4,0,29.41,65.88,4.71,2.24,-2.161,4.037,iter045_IS,exit_distribution
TRXUSDT,LONG,22,13,8,1,0,59.09,36.36,4.55,0.62,-1.648,2.597,iter045_OOS,exit_distribution
TRXUSDT,SHORT,24,10,14,0,0,41.67,58.33,0.0,1.4,-1.571,3.039,iter045_OOS,exit_distribution
TRXUSDT,BOTH,46,23,22,1,0,50.0,47.83,2.17,0.96,-1.599,2.789,iter045_OOS,exit_distribution
ALGOUSDT,LONG,33,8,25,0,0,24.24,75.76,0.0,3.12,-5.274,8.922,iter043_IS_default_ATR_2.0_1.0,exit_distribution
ALGOUSDT,SHORT,24,8,16,0,0,33.33,66.67,0.0,2.0,-5.014,10.379,iter043_IS_default_ATR_2.0_1.0,exit_distribution
ALGOUSDT,BOTH,57,16,41,0,0,28.07,71.93,0.0,2.56,-5.172,9.651,iter043_IS_default_ATR_2.0_1.0,exit_distribution
ALGOUSDT,LONG,26,7,16,3,0,26.92,61.54,11.54,2.29,-7.748,9.858,iter045_IS_per_sym_ATR_2.0_1.5,exit_distribution
ALGOUSDT,SHORT,27,11,14,2,0,40.74,51.85,7.41,1.27,-6.566,9.616,iter045_IS_per_sym_ATR_2.0_1.5,exit_distribution
ALGOUSDT,BOTH,53,18,30,5,0,33.96,56.6,9.43,1.67,-7.196,9.71,iter045_IS_per_sym_ATR_2.0_1.5,exit_distribution

# table=bch_period_pnl_iter045_IS
yyyymm,n_trades,wins,net_pnl_sum,weighted_pnl_sum,n_sl,n_tp,win_rate_pct,sl_pct,set
2022-01,1,0,-4.8949,-2.3006,1,0,0.0,100.0,iter045_IS_BCH
2022-02,4,1,-5.0236,-2.4724,3,1,25.0,75.0,iter045_IS_BCH
2022-03,3,0,-11.5458,-4.525399999999999,3,0,0.0,100.0,iter045_IS_BCH
2022-04,1,1,7.7109,7.2482,0,1,100.0,0.0,iter045_IS_BCH
2022-05,1,0,-5.2249,0.0,1,0,0.0,100.0,iter045_IS_BCH
2022-07,3,1,-0.03580000000000183,-3.5943,2,1,33.33,66.67,iter045_IS_BCH
2022-08,3,1,-8.2658,-3.2405,2,0,33.33,66.67,iter045_IS_BCH
2022-09,4,2,0.27500000000000036,-1.7214999999999998,2,1,50.0,50.0,iter045_IS_BCH
2022-11,6,1,-12.9893,-12.3336,5,0,16.67,83.33,iter045_IS_BCH
2023-01,4,1,-2.3474999999999997,-0.6653,3,1,25.0,75.0,iter045_IS_BCH
2023-02,6,2,0.0246000000000004,3.4634,4,2,33.33,66.67,iter045_IS_BCH
2023-03,6,3,10.7512,4.8685,3,3,50.0,50.0,iter045_IS_BCH
2023-04,1,0,-2.7677,-0.9687,1,0,0.0,100.0,iter045_IS_BCH
2023-05,3,1,2.0231999999999997,0.08549999999999991,1,1,33.33,33.33,iter045_IS_BCH
2023-08,1,0,-3.594,-1.7251,1,0,0.0,100.0,iter045_IS_BCH
2023-09,1,0,-3.4257,-2.2267,1,0,0.0,100.0,iter045_IS_BCH
2023-10,4,3,16.2802,7.007099999999999,1,3,75.0,25.0,iter045_IS_BCH
2023-11,3,2,10.709,9.9833,1,2,66.67,33.33,iter045_IS_BCH
2023-12,2,0,-6.8928,-5.8817,2,0,0.0,100.0,iter045_IS_BCH
2024-01,4,2,8.5687,9.394999999999998,2,2,50.0,50.0,iter045_IS_BCH
2024-02,3,1,-0.19899999999999984,0.0,2,1,33.33,66.67,iter045_IS_BCH
2024-04,5,4,29.785,26.7684,1,3,80.0,20.0,iter045_IS_BCH
2024-05,1,1,5.1934,1.8177,0,0,100.0,0.0,iter045_IS_BCH
2024-06,4,1,-3.242799999999999,-1.9554,3,1,25.0,75.0,iter045_IS_BCH
2024-07,1,0,-3.8985,-1.6764,1,0,0.0,100.0,iter045_IS_BCH
2024-08,2,2,9.7788,8.8107,0,1,100.0,0.0,iter045_IS_BCH
2024-09,1,0,-2.86,-0.9724,1,0,0.0,100.0,iter045_IS_BCH
2024-10,4,1,-3.6951,-0.6659000000000006,3,1,25.0,75.0,iter045_IS_BCH
2024-11,5,2,1.015600000000001,3.9008000000000003,3,2,40.0,60.0,iter045_IS_BCH
2024-12,4,0,-19.3458,-15.8843,3,0,0.0,75.0,iter045_IS_BCH
2025-03,3,3,21.7534,14.311800000000002,0,2,100.0,0.0,iter045_IS_BCH

# table=trx_period_pnl_iter045_IS
yyyymm,n_trades,wins,net_pnl_sum,weighted_pnl_sum,n_sl,n_tp,win_rate_pct,sl_pct,set
2022-01,1,0,-4.8988,-2.7923,1,0,0.0,100.0,iter045_IS_TRX
2022-02,1,0,-3.2616,-1.2394,1,0,0.0,100.0,iter045_IS_TRX
2022-03,3,2,1.6322999999999999,-2.7213000000000003,1,1,66.67,33.33,iter045_IS_TRX
2022-04,3,2,9.0947,8.6757,1,2,66.67,33.33,iter045_IS_TRX
2022-05,3,1,-2.7389,-1.4422000000000001,2,1,33.33,66.67,iter045_IS_TRX
2022-06,1,1,8.6057,5.0774,0,1,100.0,0.0,iter045_IS_TRX
2022-10,2,2,7.3532,5.5373,0,2,100.0,0.0,iter045_IS_TRX
2022-11,2,2,8.7928,3.8323,0,0,100.0,0.0,iter045_IS_TRX
2023-01,1,0,-2.5977,0.0,1,0,0.0,100.0,iter045_IS_TRX
2023-02,4,0,-10.005,-8.7405,4,0,0.0,100.0,iter045_IS_TRX
2023-05,2,0,-3.3670999999999998,-1.9998,2,0,0.0,100.0,iter045_IS_TRX
2023-06,2,1,1.3028,1.9733,1,0,50.0,50.0,iter045_IS_TRX
2023-07,3,1,-0.38900000000000023,-0.7569999999999999,2,1,33.33,66.67,iter045_IS_TRX
