feature,corr_portfolio_pooled,corr_BCHUSDT,corr_LDOUSDT,corr_TRXUSDT,max_abs_corr
btc_ret_14d,0.3591,0.3201,0.4803,0.3857,0.4803
hurst_diff_100_50,0.2798,0.4416,0.0626,0.2269,0.4416
max_dd_window_50,-0.0757,-0.4339,-0.0483,0.1258,0.4339
range_realized_vol_50,-0.1737,0.0774,-0.1726,-0.3704,0.3704
ret_skew_200,-0.2362,-0.1986,-0.1024,-0.3319,0.3319
ret_kurt_50,-0.1372,-0.0555,-0.3132,-0.1493,0.3132
ret_skew_50,0.12,0.2851,-0.0051,0.0615,0.2851
ret_autocorr_lag1_50,-0.0116,-0.2749,0.0318,0.1874,0.2749
sym_vs_btc_ret_7d,0.1972,0.1925,0.0742,0.2651,0.2651
hurst_100,-0.1349,-0.2118,-0.0325,-0.0734,0.2118
regime_momentum_signed_5d,0.0582,0.1225,0.2092,-0.1825,0.2092
ret_kurt_200,-0.0221,0.1071,0.0932,-0.1996,0.1996
ema_spread_atr_20,0.0772,0.0503,-0.1974,0.1965,0.1974
vwap_dev_20,-0.06,-0.1538,-0.0789,0.0966,0.1538
