symbol,month,feature,gain_share
BCHUSDT,2020-12,ret_autocorr_lag1_50,0.051856
BCHUSDT,2020-12,sym_vs_btc_ret_7d,0.051692
BCHUSDT,2020-12,regime_momentum_signed_5d,0.066944
BCHUSDT,2021-01,max_dd_window_50,0.053431
BCHUSDT,2021-01,ema_spread_atr_20,0.10977
BCHUSDT,2021-01,ret_kurt_50,0.084903
BCHUSDT,2021-01,ret_skew_200,0.047238
BCHUSDT,2021-01,range_realized_vol_50,0.084
BCHUSDT,2021-01,hurst_diff_100_50,0.060919
BCHUSDT,2021-01,ret_kurt_200,0.097274
BCHUSDT,2021-01,hurst_100,0.051076
BCHUSDT,2021-01,btc_ret_14d,0.077568
BCHUSDT,2021-01,ret_skew_50,0.100945
BCHUSDT,2021-01,vwap_dev_20,0.070697
BCHUSDT,2021-01,ret_autocorr_lag1_50,0.049007
BCHUSDT,2021-01,sym_vs_btc_ret_7d,0.054555
BCHUSDT,2021-01,regime_momentum_signed_5d,0.058617
BCHUSDT,2021-02,max_dd_window_50,0.053747
BCHUSDT,2021-02,ema_spread_atr_20,0.122019
BCHUSDT,2021-02,ret_kurt_50,0.079245
BCHUSDT,2021-02,ret_skew_200,0.051812
BCHUSDT,2021-02,range_realized_vol_50,0.07888
BCHUSDT,2021-02,hurst_diff_100_50,0.063541
BCHUSDT,2021-02,ret_kurt_200,0.108207
BCHUSDT,2021-02,hurst_100,0.047009
BCHUSDT,2021-02,btc_ret_14d,0.087936
BCHUSDT,2021-02,ret_skew_50,0.071362
BCHUSDT,2021-02,vwap_dev_20,0.083184
BCHUSDT,2021-02,ret_autocorr_lag1_50,0.045048
BCHUSDT,2021-02,sym_vs_btc_ret_7d,0.050972
BCHUSDT,2021-02,regime_momentum_signed_5d,0.057037
BCHUSDT,2021-03,max_dd_window_50,0.050091
BCHUSDT,2021-03,ema_spread_atr_20,0.119963
BCHUSDT,2021-03,ret_kurt_50,0.100441
BCHUSDT,2021-03,ret_skew_200,0.059347
BCHUSDT,2021-03,range_realized_vol_50,0.071031
BCHUSDT,2021-03,hurst_diff_100_50,0.054151
BCHUSDT,2021-03,ret_kurt_200,0.105978
BCHUSDT,2021-03,hurst_100,0.039159
BCHUSDT,2021-03,btc_ret_14d,0.084597
BCHUSDT,2021-03,ret_skew_50,0.074494
BCHUSDT,2021-03,vwap_dev_20,0.082333
BCHUSDT,2021-03,ret_autocorr_lag1_50,0.065753
BCHUSDT,2021-03,sym_vs_btc_ret_7d,0.04147
BCHUSDT,2021-03,regime_momentum_signed_5d,0.051192
BCHUSDT,2021-04,max_dd_window_50,0.058992
BCHUSDT,2021-04,ema_spread_atr_20,0.10106
BCHUSDT,2021-04,ret_kurt_50,0.09076
BCHUSDT,2021-04,ret_skew_200,0.057607
BCHUSDT,2021-04,range_realized_vol_50,0.078065
BCHUSDT,2021-04,hurst_diff_100_50,0.056744
BCHUSDT,2021-04,ret_kurt_200,0.107043
BCHUSDT,2021-04,hurst_100,0.051519
BCHUSDT,2021-04,btc_ret_14d,0.082874
BCHUSDT,2021-04,ret_skew_50,0.049169
BCHUSDT,2021-04,vwap_dev_20,0.090111
BCHUSDT,2021-04,ret_autocorr_lag1_50,0.066716
BCHUSDT,2021-04,sym_vs_btc_ret_7d,0.055328
BCHUSDT,2021-04,regime_momentum_signed_5d,0.054011
BCHUSDT,2021-05,max_dd_window_50,0.066681
BCHUSDT,2021-05,ema_spread_atr_20,0.106495
