roster,half,symbol,direction,open_time,exit_reason,natr_14,weight_factor,net_pnl_pct,weighted_pnl
baseline,IS,LINKUSDT,1,1655423999999,timeout,10.734721556203132,1.0,9.8292,9.8292
baseline,IS,LINKUSDT,1,1643068799999,timeout,10.471881034157418,1.0,10.0298,10.0298
baseline,IS,LINKUSDT,1,1668297599999,timeout,9.287684565142797,0.33,-2.2663,-0.7479
baseline,IS,ETHUSDT,-1,1655683199999,stop_loss,9.121192124490983,1.0,-13.1136,-13.1136
baseline,IS,LINKUSDT,-1,1654934399999,take_profit,9.078515991392818,1.0,22.3902,22.3902
baseline,IS,LINKUSDT,1,1652687999999,timeout,8.808586497825752,0.646,2.9864,1.9293
baseline,IS,LINKUSDT,-1,1641513599999,stop_loss,8.506201775730243,1.0,-11.6187,-11.6187
baseline,IS,LTCUSDT,1,1655423999999,timeout,8.103958108623184,1.0,24.3415,24.3415
baseline,IS,LTCUSDT,1,1643068799999,timeout,7.572504819324283,1.0,-0.1457,-0.1457
baseline,IS,LINKUSDT,-1,1698364799999,timeout,7.4463459347178205,0.33,-0.8594,-0.2836
baseline,IS,DOTUSDT,1,1738828799999,timeout,7.295349221568975,0.33,7.4926,2.4725
baseline,IS,LTCUSDT,1,1642780799999,stop_loss,7.237503461103861,1.0,-9.6598,-9.6598
baseline,IS,LINKUSDT,-1,1641859199999,timeout,7.18858441643194,1.0,14.9175,14.9175
baseline,IS,DOTUSDT,1,1668211199999,timeout,7.174898305634486,0.33,-1.997,-0.659
baseline,IS,ETHUSDT,-1,1643097599999,stop_loss,7.168230100501983,1.0,-10.6679,-10.6679
baseline,IS,ETHUSDT,-1,1643299199999,stop_loss,7.133380549355448,0.33,-9.9525,-3.2843
baseline,IS,LINKUSDT,1,1645775999999,timeout,7.116837279830473,0.33,7.1359,2.3548
baseline,IS,BTCUSDT,1,1655452799999,stop_loss,6.949895579976333,0.33,-10.1116,-3.3368
baseline,IS,BTCUSDT,1,1655654399999,timeout,6.947903607603934,0.33,7.4589,2.4614
baseline,IS,LTCUSDT,1,1652860799999,timeout,6.921308189339543,0.33,-2.5678,-0.8474
baseline,OOS,ETHUSDT,1,1744271999999,timeout,7.298547600175198,1.0,0.2737,0.2737
baseline,OOS,DOTUSDT,1,1760543999999,timeout,6.782537860661831,0.1089,-4.9695,-0.5412
baseline,OOS,DOTUSDT,-1,1772438399999,timeout,6.182626580512506,0.1089,1.4894,0.1622
baseline,OOS,ETHUSDT,1,1770508799999,timeout,5.9522912624271385,1.0,-0.124,-0.124
baseline,OOS,LINKUSDT,-1,1755763199999,timeout,5.791104653387251,0.33,5.675,1.8727
baseline,OOS,DOTUSDT,1,1744300799999,timeout,5.562529988001127,0.33,6.5862,2.1735
baseline,OOS,LINKUSDT,1,1770508799999,timeout,5.519104215021995,1.0,1.9443,1.9443
baseline,OOS,DOTUSDT,1,1762444799999,take_profit,5.115691656301633,0.33,18.0905,5.9699
baseline,OOS,LINKUSDT,1,1760774399999,timeout,5.110988558670562,1.0,6.9132,6.9132
baseline,OOS,DOTUSDT,-1,1747065599999,timeout,5.019667887625793,0.1089,10.6912,1.1643
baseline,OOS,LTCUSDT,1,1760774399999,timeout,4.778398410020109,1.0,6.0496,6.0496
baseline,OOS,DOTUSDT,-1,1752911999999,stop_loss,4.702399636918656,0.33,-7.9745,-2.6316
baseline,OOS,LINKUSDT,-1,1756511999999,timeout,4.633433951682057,0.33,4.7221,1.5583
baseline,OOS,LINKUSDT,-1,1754956799999,stop_loss,4.531935058434879,0.33,-7.9504,-2.6236
baseline,OOS,LTCUSDT,1,1763567999999,stop_loss,4.523899636789107,1.0,-8.5312,-8.5312
baseline,OOS,DOTUSDT,1,1763251199999,stop_loss,4.464504909771798,0.1173,-8.8513,-1.0383
baseline,OOS,LINKUSDT,-1,1753171199999,timeout,4.366831277468687,0.33,2.4121,0.796
baseline,OOS,DOTUSDT,-1,1768895999999,timeout,4.35516592255108,0.1089,6.084,0.6625
baseline,OOS,DOTUSDT,-1,1753199999999,timeout,4.315581054546969,0.33,11.388,3.758
baseline,OOS,ETHUSDT,1,1750723199999,timeout,4.296502757649038,0.33,2.9663,0.9789
v1-010,IS,LINKUSDT,1,1655423999999,timeout,10.734721556203132,0.1132,9.8292,1.1131
v1-010,IS,LINKUSDT,1,1668239999999,timeout,10.652300122654621,0.1134,-6.4994,-0.7372
v1-010,IS,LINKUSDT,-1,1643097599999,stop_loss,9.606923213061778,0.382,-18.1292,-6.9249
v1-010,IS,LINKUSDT,-1,1652687999999,timeout,8.808586497825752,0.1401,-3.1864,-0.4464
v1-010,IS,ETHUSDT,-1,1655711999999,stop_loss,8.674449851362581,0.1447,-13.443,-1.9454
v1-010,IS,LINKUSDT,-1,1641513599999,stop_loss,8.506201775730243,0.5439,-11.6187,-6.3199
v1-010,IS,ETHUSDT,1,1668211199999,timeout,7.898556594296677,0.1588,-6.0435,-0.9597
v1-010,IS,LTCUSDT,1,1652687999999,timeout,7.864678670952423,0.1571,9.1436,1.4362
v1-010,IS,LTCUSDT,1,1643068799999,timeout,7.572504819324283,0.4982,-0.1457,-0.0726
v1-010,IS,DOTUSDT,1,1738828799999,timeout,7.295349221568975,0.0631,7.4926,0.4731
v1-010,IS,LTCUSDT,1,1642780799999,stop_loss,7.237503461103861,0.682,-9.6598,-6.5876
v1-010,IS,BTCUSDT,1,1655452799999,stop_loss,6.949895579976333,0.1855,-10.1116,-1.8756
v1-010,IS,BTCUSDT,1,1655654399999,timeout,6.947903607603934,0.1836,7.4589,1.3697
