roster,half,symbol,n_trades,mean,p10,p25,p50,p75,p85,p90,p95,p99
baseline,IS,BTCUSDT,113,2.2847744404748687,1.2772976165373588,1.6974843498457814,2.108487709203316,2.663120960804254,2.9900245046586704,3.227419780689068,4.296423382336084,6.727697825763979
baseline,IS,ETHUSDT,145,3.1383956347269835,1.9252575324693095,2.217015227020462,2.817962987604221,3.803829850069193,4.25464284985918,4.734635613488126,5.651559412652882,7.152896297997508
baseline,IS,LINKUSDT,146,4.013349977333944,2.4617408208787177,2.962323754972571,3.767346863517606,4.593450889055687,5.136622439545009,5.534965926512831,7.1706476322815735,9.938992623100852
baseline,IS,LTCUSDT,123,3.2713254930148192,2.120294313670207,2.526369989258093,3.00345153511547,3.811288497336047,4.191088763616233,4.760234480789989,5.395558393479421,7.498804520515791
baseline,IS,DOTUSDT,93,3.3715026884081847,2.0166461217447083,2.405334915208424,3.032631076300975,3.9241819903361645,4.568956718678344,5.361943325883445,6.116181000800786,7.1845343789092455
baseline,IS,PORTFOLIO,620,3.250191550262278,1.8052544122719816,2.2752497306849087,2.9581826112438585,3.9044820514757825,4.4503152112055515,5.0084050615364015,5.7585647537622915,8.42977547897988
baseline,OOS,BTCUSDT,35,1.9773958988638813,1.4755989054626204,1.5201968146746028,1.9535921789769366,2.2700534145205666,2.4283874469091407,2.5276772007190726,2.85434951802289,3.331094573585216
baseline,OOS,ETHUSDT,46,3.0377681029561105,2.0127226365203796,2.388948658867227,2.8225997843561865,3.500758142445606,3.87776782473972,4.016674268671251,4.261116003484989,6.692732248188567
baseline,OOS,LINKUSDT,28,3.4186521817864857,2.3996644237428595,2.757839253505523,3.223281816547604,3.8622106646163035,4.523679869386569,4.776700333778609,5.376263735298993,5.717664535028632
baseline,OOS,LTCUSDT,34,2.719233429271969,1.6830766561464892,1.962438163422181,2.6574017576790347,3.2931926776086615,3.727340212248026,3.867599842642839,4.228471441037899,4.6944138148538785
baseline,OOS,DOTUSDT,46,3.6956993397192845,2.7308340399208317,3.1215523189915633,3.4255506715941566,4.13022998842553,4.38250066935626,4.861033762272225,5.450820405076254,6.512577784594633
baseline,OOS,PORTFOLIO,189,3.000659029145887,1.7125643971771065,2.20182155721155,2.8925024025121684,3.5585642104568556,4.014711281999599,4.300318417028625,4.923160096583518,6.2546159341304275
v1-010,IS,BTCUSDT,132,2.3154991763786565,1.4125060450753588,1.693372826092996,2.090945078341396,2.561526675141075,3.0977554419040927,3.281326917708104,3.8595655347942643,6.859243173706349
v1-010,IS,ETHUSDT,145,2.965050704994178,1.6686283615356048,2.1379632044522032,2.711280753320718,3.428415615705177,3.962389572257044,4.15084399344099,5.041400992001957,7.444109460401393
v1-010,IS,LINKUSDT,152,3.9576675879560055,2.557312820653477,2.940764393513037,3.7099006849064597,4.641262388132565,5.085332082621132,5.377286515672683,5.708020407055398,10.11915789876228
v1-010,IS,LTCUSDT,110,3.288706659981807,2.0175954593113268,2.442309729729964,2.92250836430527,3.9473190511605902,4.357625829775493,4.6033648617979885,5.413230387381716,7.542354697084444
v1-010,IS,DOTUSDT,124,3.349597248093223,2.0171629163247307,2.422790715969049,2.9925904052477232,4.091889804001004,4.574808121140008,5.266320240265911,5.760961401158592,6.74138197951554
v1-010,IS,PORTFOLIO,663,3.1889163020166063,1.7152899103963082,2.2222004057392626,2.9044199850541146,3.9181659558012356,4.390235146417791,4.967047481774848,5.569865909510817,7.877552281823239
v1-010,OOS,BTCUSDT,38,1.8947177207020698,1.2120750062295067,1.4952295699263543,1.878364645339089,2.3770570712914205,2.49512908944731,2.6236988306666604,2.720658741133252,2.8816469111232355
v1-010,OOS,ETHUSDT,39,2.9361481922897212,1.965209467648489,2.2659438326123826,2.707900762532188,3.3757039764151364,3.798121965884239,3.90726888265914,4.354223523172982,6.377109469006232
v1-010,OOS,LINKUSDT,48,3.664670536973143,2.454350013803063,2.8848541601299513,3.6219359055118696,4.34781654759783,5.1038783946666015,5.364965532946489,5.5465585024789466,5.7784730956190264
v1-010,OOS,LTCUSDT,37,2.733380688646517,1.6948058443113074,1.9397813914669904,2.739895760386755,3.268329236067567,3.827326603023976,3.9466476203423575,4.460150565650433,4.86315380697806
v1-010,OOS,DOTUSDT,48,3.485528830526972,2.6306041316097954,2.86359683238385,3.1974356827754473,4.070343139272416,4.353625665539301,4.689440864036976,5.01481727253357,5.642772155065671
v1-010,OOS,PORTFOLIO,210,3.0040652762185927,1.6750397530340946,2.1954072206950537,2.876749702601084,3.6963342322749826,4.100023605639556,4.4052105075249575,5.069894256700414,5.759702115980281
