roster,half,direction,threshold_pct,n_trades_baseline,n_trades_kept,n_skipped,skip_rate,sharpe_baseline,sharpe_oracle,sharpe_delta,wpnl_total_baseline,wpnl_total_oracle
baseline,IS,kill_low,2.0,620,528,92,0.14838709677419354,0.09101175205933931,0.11658616548041634,0.025574413421077025,51.452999999999975,63.83009999999997
baseline,IS,kill_low,2.25,620,469,151,0.2435483870967742,0.09101175205933931,0.16534374468135457,0.07433199262201526,51.452999999999975,91.24849999999998
baseline,IS,kill_low,2.5,620,413,207,0.3338709677419355,0.09101175205933931,0.13128870420834654,0.04027695214900723,51.452999999999975,73.4984
baseline,IS,kill_low,2.75,620,356,264,0.4258064516129032,0.09101175205933931,0.10446895141917893,0.01345719935983962,51.452999999999975,57.81060000000002
baseline,IS,kill_low,3.0,620,300,320,0.5161290322580645,0.09101175205933931,0.13814030449303968,0.04712855243370037,51.452999999999975,70.24200000000002
baseline,IS,kill_low,3.25,620,257,363,0.5854838709677419,0.09101175205933931,0.1335438300927854,0.04253207803344608,51.452999999999975,68.21969999999997
baseline,IS,kill_low,3.5,620,217,403,0.65,0.09101175205933931,0.22088020978602602,0.1298684577266867,51.452999999999975,95.67
baseline,IS,kill_low,3.75,620,178,442,0.7129032258064516,0.09101175205933931,0.14941970365221555,0.058407951592876234,51.452999999999975,72.66130000000001
baseline,IS,kill_low,4.0,620,140,480,0.7741935483870968,0.09101175205933931,0.23999223660514704,0.14898048454580773,51.452999999999975,115.2118
baseline,OOS,kill_low,2.0,189,155,34,0.17989417989417988,0.17098306338308142,0.2169490313117594,0.04596596792867799,38.13439999999999,48.5825
baseline,OOS,kill_low,2.25,189,139,50,0.26455026455026454,0.17098306338308142,0.14092613094868822,-0.030056932434393197,38.13439999999999,28.054700000000004
baseline,OOS,kill_low,2.5,189,122,67,0.3544973544973545,0.17098306338308142,0.1294752712252683,-0.04150779215781311,38.13439999999999,23.1449
baseline,OOS,kill_low,2.75,189,106,83,0.43915343915343913,0.17098306338308142,0.2794232272191535,0.1084401638360721,38.13439999999999,42.93820000000001
baseline,OOS,kill_low,3.0,189,85,104,0.5502645502645502,0.17098306338308142,0.25486530546930436,0.08388224208622294,38.13439999999999,34.0045
baseline,OOS,kill_low,3.25,189,71,118,0.6243386243386243,0.17098306338308142,0.3861074173017507,0.21512435391866927,38.13439999999999,50.6691
baseline,OOS,kill_low,3.5,189,52,137,0.7248677248677249,0.17098306338308142,0.33036397509906895,0.15938091171598753,38.13439999999999,33.260400000000004
baseline,OOS,kill_low,3.75,189,38,151,0.798941798941799,0.17098306338308142,0.20030441137253005,0.029321347989448632,38.13439999999999,20.3963
baseline,OOS,kill_low,4.0,189,29,160,0.8465608465608465,0.17098306338308142,0.358819466792818,0.1878364034097366,38.13439999999999,26.053499999999993
v1-010,IS,kill_low,2.0,663,555,108,0.16289592760180996,0.19921090246921475,0.23325422002897084,0.03404331755975609,132.7219,148.8121
v1-010,IS,kill_low,2.25,663,492,171,0.2579185520361991,0.19921090246921475,0.16922402469237194,-0.029986877776842807,132.7219,103.6979
v1-010,IS,kill_low,2.5,663,426,237,0.3574660633484163,0.19921090246921475,0.15147760467783775,-0.047733297791377,132.7219,90.947
v1-010,IS,kill_low,2.75,663,367,296,0.4464555052790347,0.19921090246921475,0.17660289285192982,-0.02260800961728493,132.7219,93.1881
v1-010,IS,kill_low,3.0,663,312,351,0.5294117647058824,0.19921090246921475,0.17679420984817693,-0.02241669262103782,132.7219,79.2099
v1-010,IS,kill_low,3.25,663,268,395,0.5957767722473605,0.19921090246921475,0.16071632245290038,-0.03849458001631437,132.7219,71.99799999999999
v1-010,IS,kill_low,3.5,663,223,440,0.6636500754147813,0.19921090246921475,0.1701835567913346,-0.02902734567788015,132.7219,72.94260000000003
v1-010,IS,kill_low,3.75,663,184,479,0.722473604826546,0.19921090246921475,0.17413582843546727,-0.02507507403374748,132.7219,65.4292
v1-010,IS,kill_low,4.0,663,159,504,0.7601809954751131,0.19921090246921475,0.2918478488290019,0.09263694635978714,132.7219,102.07069999999999
v1-010,OOS,kill_low,2.0,210,170,40,0.19047619047619047,0.18756324668927374,0.3028579696966923,0.11529472300741858,34.9818,54.839800000000004
v1-010,OOS,kill_low,2.25,210,156,54,0.2571428571428571,0.18756324668927374,0.20417693214611768,0.01661368545684394,34.9818,36.19830000000002
v1-010,OOS,kill_low,2.5,210,136,74,0.3523809523809524,0.18756324668927374,0.13834307909647728,-0.04922016759279646,34.9818,23.213099999999997
v1-010,OOS,kill_low,2.75,210,116,94,0.44761904761904764,0.18756324668927374,0.14812073834307005,-0.03944250834620369,34.9818,20.755300000000002
v1-010,OOS,kill_low,3.0,210,90,120,0.5714285714285714,0.18756324668927374,-0.08773210049839905,-0.2752953471876728,34.9818,-9.007600000000004
v1-010,OOS,kill_low,3.25,210,70,140,0.6666666666666666,0.18756324668927374,-0.33235195592302874,-0.5199152026123025,34.9818,-34.196000000000005
v1-010,OOS,kill_low,3.5,210,61,149,0.7095238095238096,0.18756324668927374,-0.17388216648427865,-0.3614454131735524,34.9818,-16.6896
v1-010,OOS,kill_low,3.75,210,48,162,0.7714285714285715,0.18756324668927374,-0.33335427802440276,-0.5209175247136765,34.9818,-26.666700000000002
v1-010,OOS,kill_low,4.0,210,36,174,0.8285714285714286,0.18756324668927374,-0.23328367023844335,-0.4208469169277171,34.9818,-11.233199999999997
