roster,half,natr_bucket,n_trades,wr,mean_net_pnl_pct,sum_weighted_pnl,stop_loss_share,take_profit_share,timeout_share
baseline,IS,<3,320,0.3625,-0.1765659375,-18.789,0.59375,0.253125,0.153125
baseline,IS,3-5,237,0.4050632911392405,-0.15910970464135016,-4.30920000000001,0.5232067510548524,0.189873417721519,0.2869198312236287
baseline,IS,5-7,46,0.5869565217391305,2.140747826086957,36.466899999999995,0.32608695652173914,0.17391304347826086,0.5
baseline,IS,7-9,12,0.4166666666666667,0.9977416666666667,9.6966,0.3333333333333333,0.0,0.6666666666666666
baseline,IS,>9,5,0.6,5.3738600000000005,28.387700000000002,0.2,0.2,0.6
baseline,OOS,<3,104,0.3173076923076923,-0.41313557692307695,4.129900000000005,0.6346153846153846,0.25,0.10576923076923077
baseline,OOS,3-5,75,0.4666666666666667,0.28354799999999986,14.1959,0.4666666666666667,0.17333333333333334,0.3466666666666667
baseline,OOS,5-7,9,0.7777777777777778,5.144033333333334,19.534899999999997,0.0,0.1111111111111111,0.8888888888888888
baseline,OOS,7-9,1,1.0,0.2737,0.2737,0.0,0.0,1.0
baseline,OOS,>9,0,,,0.0,,,
v1-010,IS,<3,351,0.4188034188034188,0.24139544159544163,53.51200000000001,0.5441595441595442,0.25925925925925924,0.19658119658119658
v1-010,IS,3-5,249,0.39759036144578314,0.18406987951807235,79.45349999999999,0.4859437751004016,0.2248995983935743,0.2891566265060241
v1-010,IS,5-7,52,0.38461538461538464,-0.41465,20.727700000000006,0.4807692307692308,0.17307692307692307,0.34615384615384615
v1-010,IS,7-9,8,0.25,-3.4326125000000003,-14.4223,0.375,0.0,0.625
v1-010,IS,>9,3,0.3333333333333333,-4.933133333333333,-6.5489999999999995,0.3333333333333333,0.0,0.6666666666666666
v1-010,OOS,<3,120,0.4166666666666667,0.6622383333333333,43.9894,0.5166666666666667,0.3,0.15833333333333333
v1-010,OOS,3-5,77,0.4675324675324675,0.16365064935064932,-1.5851000000000033,0.45454545454545453,0.15584415584415584,0.38961038961038963
v1-010,OOS,5-7,12,0.5833333333333334,0.6423083333333333,-7.4780999999999995,0.3333333333333333,0.08333333333333333,0.5833333333333334
v1-010,OOS,7-9,1,1.0,0.2737,0.0556,0.0,0.0,1.0
v1-010,OOS,>9,0,,,0.0,,,
