roster,half,symbol,threshold_pct,n_trades_baseline,n_trades_kept,n_skipped,skip_rate,wpnl_baseline,wpnl_kept,wpnl_delta
baseline,IS,BTCUSDT,5.5,113,111,2,0.017699115044247787,-15.025999999999996,-14.150600000000011,0.8753999999999849
baseline,IS,ETHUSDT,5.5,145,137,8,0.05517241379310345,-15.973,0.04470000000000063,16.0177
baseline,IS,LINKUSDT,5.5,146,130,16,0.1095890410958904,96.4006,33.837700000000005,-62.56289999999999
baseline,IS,LTCUSDT,5.5,123,117,6,0.04878048780487805,2.2396999999999934,-28.277199999999997,-30.51689999999999
baseline,IS,DOTUSDT,5.5,93,84,9,0.0967741935483871,-16.188300000000005,-14.715099999999996,1.4732000000000092
baseline,IS,PORTFOLIO,5.5,620,579,41,0.06612903225806452,51.452999999999975,-23.260500000000018,-74.7135
baseline,IS,BTCUSDT,6.0,113,111,2,0.017699115044247787,-15.025999999999996,-14.150600000000011,0.8753999999999849
baseline,IS,ETHUSDT,6.0,145,140,5,0.034482758620689655,-15.973,12.803600000000003,28.776600000000002
baseline,IS,LINKUSDT,6.0,146,136,10,0.0684931506849315,96.4006,50.8287,-45.5719
baseline,IS,LTCUSDT,6.0,123,119,4,0.032520325203252036,2.2396999999999934,-11.448899999999993,-13.688599999999987
baseline,IS,DOTUSDT,6.0,93,88,5,0.053763440860215055,-16.188300000000005,-25.079900000000002,-8.891599999999997
baseline,IS,PORTFOLIO,6.0,620,594,26,0.041935483870967745,51.452999999999975,12.952900000000005,-38.50009999999997
baseline,IS,BTCUSDT,6.5,113,111,2,0.017699115044247787,-15.025999999999996,-14.150600000000011,0.8753999999999849
baseline,IS,ETHUSDT,6.5,145,142,3,0.020689655172413793,-15.973,11.092799999999997,27.065799999999996
baseline,IS,LINKUSDT,6.5,146,137,9,0.06164383561643835,96.4006,47.599999999999994,-48.8006
baseline,IS,LTCUSDT,6.5,123,119,4,0.032520325203252036,2.2396999999999934,-11.448899999999993,-13.688599999999987
baseline,IS,DOTUSDT,6.5,93,89,4,0.043010752688172046,-16.188300000000005,-23.1334,-6.9450999999999965
baseline,IS,PORTFOLIO,6.5,620,598,22,0.035483870967741936,51.452999999999975,9.959899999999992,-41.493099999999984
baseline,IS,BTCUSDT,7.0,113,113,0,0.0,-15.025999999999996,-15.025999999999996,0.0
baseline,IS,ETHUSDT,7.0,145,142,3,0.020689655172413793,-15.973,11.092799999999997,27.065799999999996
baseline,IS,LINKUSDT,7.0,146,137,9,0.06164383561643835,96.4006,47.599999999999994,-48.8006
baseline,IS,LTCUSDT,7.0,123,120,3,0.024390243902439025,2.2396999999999934,-12.296300000000002,-14.535999999999996
baseline,IS,DOTUSDT,7.0,93,91,2,0.021505376344086023,-16.188300000000005,-18.0018,-1.8134999999999941
baseline,IS,PORTFOLIO,7.0,620,603,17,0.027419354838709678,51.452999999999975,13.36869999999999,-38.084299999999985
baseline,IS,BTCUSDT,7.5,113,113,0,0.0,-15.025999999999996,-15.025999999999996,0.0
baseline,IS,ETHUSDT,7.5,145,144,1,0.006896551724137931,-15.973,-2.8593999999999973,13.113600000000003
baseline,IS,LINKUSDT,7.5,146,140,6,0.0410958904109589,96.4006,64.5887,-31.811899999999994
baseline,IS,LTCUSDT,7.5,123,121,2,0.016260162601626018,2.2396999999999934,-21.956099999999992,-24.195799999999984
baseline,IS,DOTUSDT,7.5,93,93,0,0.0,-16.188300000000005,-16.188300000000005,0.0
baseline,IS,PORTFOLIO,7.5,620,611,9,0.014516129032258065,51.452999999999975,8.558900000000008,-42.894099999999966
baseline,IS,BTCUSDT,8.0,113,113,0,0.0,-15.025999999999996,-15.025999999999996,0.0
baseline,IS,ETHUSDT,8.0,145,144,1,0.006896551724137931,-15.973,-2.8593999999999973,13.113600000000003
