roster,half,direction,threshold_pct,n_trades_baseline,n_trades_kept,n_skipped,skip_rate,sharpe_baseline,sharpe_oracle,sharpe_delta,wpnl_total_baseline,wpnl_total_oracle
baseline,IS,kill_high,3.0,620,320,300,0.4838709677419355,0.09101175205933931,-0.060683422099916146,-0.15169517415925546,51.452999999999975,-18.789
baseline,IS,kill_high,3.25,620,363,257,0.41451612903225804,0.09101175205933931,-0.05128279113368221,-0.14229454319302154,51.452999999999975,-16.7667
baseline,IS,kill_high,3.5,620,403,217,0.35,0.09101175205933931,-0.12193404698596232,-0.21294579904530164,51.452999999999975,-44.21700000000001
baseline,IS,kill_high,3.75,620,442,178,0.2870967741935484,0.09101175205933931,-0.054455436072210456,-0.14546718813154977,51.452999999999975,-21.208300000000012
baseline,IS,kill_high,4.0,620,480,140,0.22580645161290322,0.09101175205933931,-0.15931474329275813,-0.25032649535209744,51.452999999999975,-63.7588
baseline,IS,kill_high,4.25,620,506,114,0.18387096774193548,0.09101175205933931,-0.06716919165450412,-0.15818094371384345,51.452999999999975,-30.332899999999995
baseline,IS,kill_high,4.5,620,529,91,0.14677419354838708,0.09101175205933931,-0.06360071990429829,-0.1546124719636376,51.452999999999975,-27.777300000000015
baseline,IS,kill_high,4.75,620,544,76,0.12258064516129032,0.09101175205933931,-0.04903151336562989,-0.1400432654249692,51.452999999999975,-21.17490000000001
baseline,IS,kill_high,5.0,620,557,63,0.10161290322580645,0.09101175205933931,-0.053509142384172086,-0.1445208944435114,51.452999999999975,-23.098200000000013
baseline,OOS,kill_high,3.0,189,104,85,0.4497354497354497,0.17098306338308142,0.027328743220736463,-0.14365432016234495,38.13439999999999,4.129900000000005
baseline,OOS,kill_high,3.25,189,118,71,0.37566137566137564,0.17098306338308142,-0.0808703599859786,-0.25185342336906,38.13439999999999,-12.534699999999996
baseline,OOS,kill_high,3.5,189,137,52,0.2751322751322751,0.17098306338308142,0.03129942456354675,-0.13968363881953466,38.13439999999999,4.873999999999997
baseline,OOS,kill_high,3.75,189,151,38,0.20105820105820105,0.17098306338308142,0.09486445060264591,-0.07611861278043551,38.13439999999999,17.738099999999996
baseline,OOS,kill_high,4.0,189,160,29,0.15343915343915343,0.17098306338308142,0.05932617619923066,-0.11165688718385075,38.13439999999999,12.080899999999998
baseline,OOS,kill_high,4.25,189,167,22,0.1164021164021164,0.17098306338308142,0.07612895395123292,-0.0948541094318485,38.13439999999999,17.977000000000004
baseline,OOS,kill_high,4.5,189,174,15,0.07936507936507936,0.17098306338308142,0.10779540599106328,-0.06318765739201813,38.13439999999999,24.504300000000015
baseline,OOS,kill_high,4.75,189,178,11,0.0582010582010582,0.17098306338308142,0.05808576197079813,-0.1128973014122833,38.13439999999999,12.27620000000001
baseline,OOS,kill_high,5.0,189,179,10,0.05291005291005291,0.17098306338308142,0.08637094020607236,-0.08461212317700906,38.13439999999999,18.32580000000001
v1-010,IS,kill_high,3.0,663,351,312,0.47058823529411764,0.19921090246921475,0.15308668818417456,-0.04612421428504018,132.7219,53.51200000000001
v1-010,IS,kill_high,3.25,663,395,268,0.4042232277526395,0.19921090246921475,0.15873029334656974,-0.040480609122645006,132.7219,60.723899999999986
v1-010,IS,kill_high,3.5,663,440,223,0.33634992458521873,0.19921090246921475,0.1223789972115182,-0.07683190525769655,132.7219,59.779300000000006
v1-010,IS,kill_high,3.75,663,479,184,0.277526395173454,0.19921090246921475,0.11833345647983981,-0.08087744598937494,132.7219,67.2927
v1-010,IS,kill_high,4.0,663,504,159,0.2398190045248869,0.19921090246921475,0.04846841533547782,-0.15074248713373692,132.7219,30.651200000000014
v1-010,IS,kill_high,4.25,663,539,124,0.1870286576168929,0.19921090246921475,0.11626890119213833,-0.08294200127707642,132.7219,76.501
v1-010,IS,kill_high,4.5,663,572,91,0.13725490196078433,0.19921090246921475,0.16786636302296984,-0.03134453944624491,132.7219,115.65390000000001
v1-010,IS,kill_high,4.75,663,584,79,0.1191553544494721,0.19921090246921475,0.18732244393403916,-0.011888458535175589,132.7219,130.61949999999996
v1-010,IS,kill_high,5.0,663,600,63,0.09502262443438914,0.19921090246921475,0.19106310420900227,-0.008147798260212474,132.7219,132.9655
v1-010,OOS,kill_high,3.0,210,120,90,0.42857142857142855,0.18756324668927374,0.29404785993331556,0.10648461324404182,34.9818,43.9894
v1-010,OOS,kill_high,3.25,210,140,70,0.3333333333333333,0.18756324668927374,0.45411837967584867,0.26655513298657496,34.9818,69.17779999999999
v1-010,OOS,kill_high,3.5,210,149,61,0.2904761904761905,0.18756324668927374,0.358774429562433,0.17121118287315926,34.9818,51.671400000000006
v1-010,OOS,kill_high,3.75,210,162,48,0.22857142857142856,0.18756324668927374,0.41192862810368985,0.22436538141441612,34.9818,61.6485
v1-010,OOS,kill_high,4.0,210,174,36,0.17142857142857143,0.18756324668927374,0.2676786330006598,0.08011538631138607,34.9818,46.214999999999996
v1-010,OOS,kill_high,4.25,210,181,29,0.1380952380952381,0.18756324668927374,0.1940724509096953,0.0065092042204215605,34.9818,31.939100000000003
v1-010,OOS,kill_high,4.5,210,189,21,0.1,0.18756324668927374,0.21850403506413899,0.030940788374865247,34.9818,37.9012
v1-010,OOS,kill_high,4.75,210,192,18,0.08571428571428572,0.18756324668927374,0.25054856368105743,0.0629853169917837,34.9818,42.069599999999994
v1-010,OOS,kill_high,5.0,210,197,13,0.06190476190476191,0.18756324668927374,0.23750209168687184,0.0499388449975981,34.9818,42.4043
