roster,half,symbol,natr_bucket,n_trades,wr,mean_net_pnl_pct,sum_weighted_pnl
baseline,IS,BTCUSDT,<2.5,76,0.3157894736842105,-0.41819736842105265,-20.974300000000007
baseline,IS,BTCUSDT,2.5-3,20,0.3,-0.24586999999999995,8.905700000000001
baseline,IS,BTCUSDT,3-3.5,8,0.25,-2.9580875000000004,-10.5767
baseline,IS,BTCUSDT,3.5-4,2,0.5,-2.16805,-1.431
baseline,IS,BTCUSDT,4-5,4,0.75,4.616825,6.094099999999999
baseline,IS,BTCUSDT,>5,3,0.6666666666666666,2.9860666666666673,2.9561999999999995
baseline,IS,ETHUSDT,<2.5,56,0.42857142857142855,0.15498571428571445,12.402900000000002
baseline,IS,ETHUSDT,2.5-3,24,0.2916666666666667,-0.3033166666666666,-4.133999999999999
baseline,IS,ETHUSDT,3-3.5,19,0.2631578947368421,-1.5720631578947368,-18.518400000000003
baseline,IS,ETHUSDT,3.5-4,18,0.3333333333333333,-0.9786333333333334,-5.3332
baseline,IS,ETHUSDT,4-5,16,0.5,0.92185625,9.723600000000001
baseline,IS,ETHUSDT,>5,12,0.5,1.469625,-10.1139
baseline,IS,LINKUSDT,<2.5,18,0.3333333333333333,-0.8573999999999998,-8.0399
baseline,IS,LINKUSDT,2.5-3,20,0.45,0.6127849999999999,11.304299999999998
baseline,IS,LINKUSDT,3-3.5,21,0.38095238095238093,-0.38306190476190477,3.678600000000003
baseline,IS,LINKUSDT,3.5-4,23,0.391304347826087,-0.9875347826086959,-8.1326
baseline,IS,LINKUSDT,4-5,40,0.55,2.1864674999999996,65.3532
baseline,IS,LINKUSDT,>5,24,0.5,0.7723833333333333,32.236999999999995
baseline,IS,LTCUSDT,<2.5,29,0.4482758620689655,0.714589655172414,4.886000000000001
baseline,IS,LTCUSDT,2.5-3,32,0.34375,-0.6849718749999998,-4.293300000000002
baseline,IS,LTCUSDT,3-3.5,22,0.2727272727272727,-1.3517636363636365,-10.742600000000003
baseline,IS,LTCUSDT,3.5-4,21,0.38095238095238093,-0.9313952380952382,-1.5066999999999995
baseline,IS,LTCUSDT,4-5,7,0.2857142857142857,-2.4405428571428565,-30.146700000000003
baseline,IS,LTCUSDT,>5,12,0.6666666666666666,5.247908333333333,44.043
baseline,IS,DOTUSDT,<2.5,28,0.39285714285714285,-0.267175,-10.320099999999998
baseline,IS,DOTUSDT,2.5-3,17,0.29411764705882354,-0.5497588235294119,-8.5263
baseline,IS,DOTUSDT,3-3.5,13,0.5384615384615384,3.3140384615384617,10.731099999999998
baseline,IS,DOTUSDT,3.5-4,13,0.3076923076923077,-1.846092307692308,-3.1383000000000014
baseline,IS,DOTUSDT,4-5,10,0.5,-0.4843099999999998,-10.363599999999998
baseline,IS,DOTUSDT,>5,12,0.5833333333333334,2.434233333333333,5.4289000000000005
baseline,OOS,BTCUSDT,<2.5,31,0.45161290322580644,0.7159967741935485,2.677599999999998
baseline,OOS,BTCUSDT,2.5-3,2,0.5,1.8552500000000003,3.7105000000000006
baseline,OOS,BTCUSDT,3-3.5,2,0.5,3.6317500000000003,7.2635000000000005
baseline,OOS,ETHUSDT,<2.5,13,0.3076923076923077,-0.3574000000000001,12.38
baseline,OOS,ETHUSDT,2.5-3,15,0.2,-1.6436133333333331,-7.6471
baseline,OOS,ETHUSDT,3-3.5,6,0.6666666666666666,3.433683333333334,10.770999999999999
baseline,OOS,ETHUSDT,3.5-4,7,0.42857142857142855,-0.7687714285714283,1.8575000000000008
baseline,OOS,ETHUSDT,4-5,3,1.0,5.561699999999999,14.6977
baseline,OOS,ETHUSDT,>5,2,0.5,0.07485,0.1497
baseline,OOS,LINKUSDT,<2.5,5,0.2,-1.4998,-1.5194999999999999
baseline,OOS,LINKUSDT,2.5-3,7,0.42857142857142855,1.5360714285714288,7.757899999999999
baseline,OOS,LINKUSDT,3-3.5,5,0.2,-1.31476,-7.1175
baseline,OOS,LINKUSDT,3.5-4,5,0.8,4.7677,11.7576
baseline,OOS,LINKUSDT,4-5,3,0.6666666666666666,-0.27206666666666646,-0.2693000000000001
baseline,OOS,LINKUSDT,>5,3,1.0,4.844166666666667,10.7302
baseline,OOS,LTCUSDT,<2.5,16,0.25,-0.8833437499999999,-0.6310000000000002
baseline,OOS,LTCUSDT,2.5-3,5,0.2,-1.51144,-7.5572
baseline,OOS,LTCUSDT,3-3.5,6,0.3333333333333333,-0.5557833333333332,-6.813999999999999
baseline,OOS,LTCUSDT,3.5-4,4,0.5,-3.157325,-3.6137
baseline,OOS,LTCUSDT,4-5,3,0.3333333333333333,-3.1979,-9.5937
baseline,OOS,DOTUSDT,<2.5,2,0.5,1.6542499999999998,2.0824
