variant,n,win_rate,sharpe,net,top2_share
ANCHOR(no agree),3291,0.5242,0.4363,49.3522,0.0433
AGREE_SCALE::P1_macross_donch_tsmom3,3291,0.5321,0.5457,62.4604,0.0342
AGREE_SCALE::P2_tsmom_only_3,3291,0.5314,0.5293,59.4692,0.0359
AGREE_SCALE::P3_family_3,3291,0.5324,0.5597,64.3286,0.0332
AGREE_SCALE::P4_macross_multi,3291,0.5284,0.5026,57.7271,0.037
AGREE_SCALE::P5_donch_multi,3291,0.5296,0.5367,61.4949,0.0348
AGREE_SCALE::P6_wide_mix,3291,0.5314,0.5409,61.5049,0.0348
