period,book,n,win_rate,per_trade_sharpe_ann,net_sum,top2_share_of_net
2022,ANCHOR_sma200,657,0.4414,-0.6727,-15.5659,
2022,C_family,657,0.4551,-0.1233,-2.873,
2022,B_tsmom,657,0.4764,-0.1097,-2.5567,
2023,ANCHOR_sma200,657,0.5616,0.1222,1.348,0.3442
2023,C_family,657,0.5419,-0.0177,-0.1952,
2023,B_tsmom,657,0.5464,0.0197,0.2176,2.4439
2024H1,ANCHOR_sma200,328,0.3567,-0.6059,-5.936,
2024H1,C_family,328,0.4207,-0.2779,-2.735,
2024H1,B_tsmom,328,0.436,-0.123,-1.2111,
RECENT_2024H2_2025Q1,ANCHOR_sma200,454,0.6079,1.3123,13.8488,0.0387
RECENT_2024H2_2025Q1,C_family,454,0.5441,0.4498,4.8976,0.1029
RECENT_2024H2_2025Q1,B_tsmom,454,0.5485,0.4661,5.0733,0.0993
