component_id,iter_label,symbol,is_sha256,oos_sha256
C-BTC,iteration_v1-012,BTCUSDT,81bc0f1c579927471355ac8bd780eea29976a72e1896f343e2608266e955a407,f71d444030f9d1185f644fa95f6a56a60fd31f453a5d719c2601fbc3d2b4b9e1
C-ETH,iteration_v1-042,ETHUSDT,5153aea318bebc3d6fae1570c10d19aa846959c10ad9e806d3f09336d641050a,6b9b87c5fbd545bebccdeab025111814a62e8eff64672af9c4b5c2667d211731
C-LINK,iteration_v1-011,LINKUSDT,054fc6da7b06d7c36a471082f51efe4e2cd5d524e7c7c942d224007ec8b15523,5799ff0dc93829e7f284e3fd94f54c4ff22635084ef0b9ca2ca912dd16f96206
C-LTC,iteration_v1-040,LTCUSDT,fa83273e05dfa439076aa3132904f9a62fb3f653d4975690d54da4997763a790,952858d4f8f054e89f23ddfd3df5f0add92b8805a83070e6bacf2fab418c0f67
C-DOT,iteration_v1-031,DOTUSDT,c7c314366617075f24806b39498a7b7c75796387da6cc011628224a450782603,20a31caf17b9a1297ab9009e13adc1336e42a9f6dbb4df7b8c87cea215c7d27f
