model,month,num_leaves_mean,num_leaves_std,num_leaves_cv,learning_rate_mean,learning_rate_std,learning_rate_cv,min_child_samples_mean,min_child_samples_std,min_child_samples_cv
A,2022-01,38.4,17.242389625571047,0.4490205631659127,0.019727829131052345,0.012667322821868873,0.6421042446038845,86.8,11.366617790706258,0.13095181786527946
A,2022-02,32.2,15.482247898803326,0.4808151521367492,0.0622975854461947,0.044714111637344234,0.7177503159566755,50.6,19.844394674567425,0.3921817129361151
A,2022-03,34.2,15.658863304850707,0.45786150014183347,0.12231703390131746,0.07717002084158898,0.6309016690500193,54.0,29.706901555025897,0.5501278065745536
A,2022-04,34.0,15.362291495737216,0.45183210281580044,0.07787093832831923,0.10979939513533207,1.4100176200830683,52.0,19.849433241279208,0.38171987002460017
A,2022-05,40.0,18.083141320025124,0.4520785330006281,0.015085305549301282,0.004195201643770435,0.2780985529301889,49.8,11.713240371477058,0.23520562994933852
A,2022-06,51.4,10.261578825892242,0.19964161139868175,0.06641383132507844,0.05242901079923549,0.7894290956142721,74.8,19.84187491140895,0.2652657073717774
A,2022-07,39.4,13.24009063413087,0.3360429094957074,0.10871934744361637,0.11179987167715193,1.0283346460953802,85.4,14.449913494550755,0.16920273412822898
A,2022-08,50.0,9.772410142846033,0.19544820285692066,0.0681887844150641,0.06521507569112966,0.9563900610717224,37.6,16.425589791541736,0.43685079232823765
A,2022-09,36.8,15.449919093639293,0.4198347579793287,0.018534455492289804,0.008116385438530892,0.4379079515935738,46.2,8.843076387773658,0.19140857982194065
A,2022-10,38.4,14.010710188994704,0.36486224450507043,0.05637562178153779,0.0873422795027401,1.5492916395885046,51.0,19.261360284258224,0.37767373106388674
A,2022-11,41.8,13.065221008463652,0.31256509589625964,0.12685298571807313,0.08351668863089472,0.6583738503128969,54.6,26.130442016927304,0.4785795241195477
A,2022-12,43.8,20.98094373473224,0.4790169802450283,0.04881722541983493,0.05605841789176224,1.1483327331623632,59.4,34.40639475446388,0.5792322349236344
A,2023-01,34.4,8.17312669668102,0.2375908923453785,0.022129915073962458,0.009083071765376918,0.41044313703959256,56.4,24.151604501564695,0.4282199379710052
A,2023-02,42.4,16.592166826548002,0.39132468930537745,0.0340844853336705,0.03248601836498724,0.953102798735699,59.8,26.64019519448009,0.44548821395451654
A,2023-03,31.0,12.409673645990857,0.40031205309647927,0.09568579672338066,0.08242573315802675,0.8614207748754226,77.6,18.902380802428034,0.24358738147458808
A,2023-04,38.2,4.8166378315169185,0.1260899955894481,0.04600045742930834,0.029447274367220833,0.640151772674744,86.6,14.08190328045183,0.16260858291514815
A,2023-05,46.6,10.644247272588137,0.22841732344609736,0.028675205405330983,0.01976864368042694,0.6893985030270008,63.6,16.318700928689147,0.2565833479353639
A,2023-06,38.2,17.00588133558505,0.4451801396750013,0.12575848642375417,0.09604847287463407,0.7637534102548783,62.2,32.337284981890484,0.5198920415094933
A,2023-07,41.6,13.352902306240393,0.32098322851539407,0.020264680880351393,0.017194916935640427,0.8485165415218848,62.2,18.294808006644946,0.2941287460875393
A,2023-08,47.6,16.69730517179344,0.3507837220965009,0.09606042610465611,0.10358502314576663,1.0783319140486907,55.2,30.58103987767584,0.5540043456100695
A,2023-09,44.4,18.16039647144302,0.4090179385460139,0.020213942597213132,0.0058213734888272,0.2879880290958076,49.4,10.737783756436894,0.2173640436525687
A,2023-10,43.8,12.833549781724463,0.2930034196740745,0.057936577814989856,0.07305090868381295,1.2608771770588179,60.4,16.379865689315036,0.2711898292932953
A,2023-11,43.0,14.035668847618199,0.32641090343298135,0.02980920576547514,0.024440855317607958,0.8199096450236599,60.4,26.06338427756457,0.43151298472789024
A,2023-12,31.8,14.6696966567138,0.4613112156199308,0.12002372518016761,0.07810505842000764,0.6507468277856244,33.0,16.97056274847714,0.5142594772265799
A,2024-01,48.6,15.00999666888704,0.3088476680840955,0.019218545002511106,0.0055138729668147415,0.28690376748574337,65.0,21.18962010041709,0.32599415539103216
A,2024-02,43.6,18.595698427324532,0.42650684466340666,0.04401247254656049,0.024703639271266953,0.5612872406823576,44.8,14.342245291445828,0.3201394038269158
A,2024-03,39.4,22.108821768696767,0.5611376083425575,0.05109686678772092,0.02963779781126737,0.580031608090491,59.4,25.105776227792678,0.42265616545105517
A,2024-04,41.8,14.024977718342372,0.33552578273546346,0.03838752403802067,0.024801213476548078,0.6460748406691684,74.2,18.97893569197177,0.2557808044740131
A,2024-05,48.2,17.455658108475888,0.36215058316340015,0.12639060320131518,0.11027110328599948,0.8724628294586068,56.0,19.81161275615895,0.35377879921712413
A,2024-06,38.8,14.377065069060514,0.3705429141510442,0.08498047787335675,0.05359802419214075,0.6307098469370329,28.8,9.602083107326242,0.3334056634488279
A,2024-07,39.2,13.330416347586448,0.3400616415200624,0.04804141331151816,0.05275587584404977,1.0981333022399093,50.8,20.777391559096152,0.4090037708483495
A,2024-08,45.4,16.56200470957547,0.36480186584967994,0.05594625671824858,0.06360657568034124,1.1369228150628712,43.2,9.833615815151616,0.2276299957211022
A,2024-09,33.0,9.9498743710662,0.30151134457776363,0.03616796562504047,0.027492074895431776,0.760122235805211,63.0,12.529964086141668,0.19888831882764552
A,2024-10,40.2,17.683325479106017,0.43988371838572177,0.012830219027063628,0.0022569983275061763,0.17591268884384131,67.4,22.545509530724736,0.33450310876446193
A,2024-11,39.8,13.917614738165444,0.34968881251671974,0.11846316414461988,0.13455069493658828,1.1358019677098,44.0,24.259018941416407,0.5513413395776456
