model,month,median_pair_spearman,n_pairs
A,2022-01,1.0,10
A,2022-02,1.0,10
A,2022-03,0.5,10
A,2022-04,1.0,10
A,2022-05,1.0,10
A,2022-06,1.0,10
A,2022-07,1.0,10
A,2022-08,1.0,10
A,2022-09,0.5,10
A,2022-10,0.5,10
A,2022-11,0.5,10
A,2022-12,0.5,10
A,2023-01,1.0,10
A,2023-02,0.5,10
A,2023-03,1.0,10
A,2023-04,1.0,10
A,2023-05,1.0,10
A,2023-06,0.5,10
A,2023-07,1.0,10
A,2023-08,0.5,10
A,2023-09,0.5,10
A,2023-10,0.5,10
A,2023-11,0.8660254037844387,10
A,2023-12,0.5,10
A,2024-01,0.5,10
A,2024-02,0.5,10
A,2024-03,1.0,10
A,2024-04,1.0,10
A,2024-05,1.0,10
A,2024-06,0.5,10
A,2024-07,1.0,10
A,2024-08,0.5,10
A,2024-09,1.0,10
A,2024-10,1.0,10
A,2024-11,0.5,10
A,2024-12,1.0,10
A,2025-01,1.0,10
A,2025-02,1.0,10
A,2025-03,1.0,10
A,2025-04,1.0,10
A,2025-05,1.0,10
A,2025-06,1.0,10
A,2025-07,1.0,10
A,2025-08,1.0,10
A,2025-09,1.0,10
A,2025-10,0.5,10
A,2025-11,1.0,10
A,2025-12,1.0,10
A,2026-01,1.0,10
A,2026-02,1.0,10
A,2026-03,0.5,10
A,2026-04,1.0,10
A,2026-05,1.0,10
C,2022-01,1.0,10
C,2022-02,1.0,10
C,2022-03,0.5,10
C,2022-04,0.5,10
C,2022-05,1.0,10
C,2022-06,1.0,10
C,2022-07,0.5,10
C,2022-08,1.0,10
C,2022-09,0.5,10
C,2022-10,1.0,10
C,2022-11,1.0,10
C,2022-12,0.5,10
C,2023-01,1.0,10
C,2023-02,0.5,10
C,2023-03,1.0,10
C,2023-04,1.0,10
C,2023-05,1.0,10
C,2023-06,1.0,10
C,2023-07,1.0,10
C,2023-08,1.0,10
C,2023-09,1.0,10
C,2023-10,1.0,10
C,2023-11,1.0,10
C,2023-12,1.0,10
C,2024-01,1.0,10
C,2024-02,1.0,10
C,2024-03,1.0,10
C,2024-04,1.0,10
C,2024-05,1.0,10
C,2024-06,1.0,10
C,2024-07,1.0,10
C,2024-08,1.0,10
C,2024-09,1.0,10
C,2024-10,1.0,10
C,2024-11,1.0,10
C,2024-12,0.5,10
C,2025-01,0.8660254037844387,10
C,2025-02,1.0,10
C,2025-03,1.0,10
C,2025-04,1.0,10
C,2025-05,1.0,10
C,2025-06,1.0,10
C,2025-07,0.5,10
C,2025-08,0.5,10
C,2025-09,1.0,10
C,2025-10,0.5,10
C,2025-11,1.0,10
C,2025-12,0.5,10
C,2026-01,1.0,10
C,2026-02,1.0,10
C,2026-03,1.0,10
C,2026-04,1.0,10
C,2026-05,1.0,10
D,2022-01,1.0,10
D,2022-02,1.0,10
D,2022-03,1.0,10
D,2022-04,1.0,10
D,2022-05,1.0,10
D,2022-06,1.0,10
D,2022-07,1.0,10
D,2022-08,1.0,10
D,2022-09,1.0,10
D,2022-10,0.5,10
D,2022-11,1.0,10
D,2022-12,1.0,10
D,2023-01,1.0,10
D,2023-02,1.0,10
D,2023-03,1.0,10
D,2023-04,1.0,10
D,2023-05,0.5,10
D,2023-06,1.0,10
D,2023-07,1.0,10
D,2023-08,1.0,10
D,2023-09,1.0,10
D,2023-10,1.0,10
D,2023-11,1.0,10
D,2023-12,1.0,10
D,2024-01,0.5,10
D,2024-02,1.0,10
D,2024-03,1.0,10
D,2024-04,1.0,10
D,2024-05,0.5,10
D,2024-06,0.5,10
D,2024-07,0.5,10
D,2024-08,0.5,10
D,2024-09,0.5,10
D,2024-10,1.0,10
D,2024-11,1.0,10
D,2024-12,0.5,10
D,2025-01,0.5,10
D,2025-02,1.0,10
D,2025-03,1.0,10
D,2025-04,1.0,10
D,2025-05,0.5,10
D,2025-06,0.5,10
D,2025-07,1.0,10
D,2025-08,1.0,10
D,2025-09,0.5,10
D,2025-10,1.0,10
D,2025-11,1.0,10
D,2025-12,1.0,10
D,2026-01,0.5,10
D,2026-02,1.0,10
D,2026-03,1.0,10
D,2026-04,0.5,10
D,2026-05,0.5,10
E,2022-08,0.5,10
E,2022-09,0.5,10
E,2022-10,0.5,10
E,2022-11,0.5,10
E,2022-12,1.0,10
E,2023-01,0.5,10
E,2023-02,0.8660254037844387,10
E,2023-03,1.0,10
E,2023-04,1.0,10
E,2023-05,1.0,10
E,2023-06,1.0,10
E,2023-07,1.0,10
E,2023-08,0.5,10
E,2023-09,1.0,10
E,2023-10,1.0,10
E,2023-11,0.5,10
E,2023-12,1.0,10
E,2024-01,1.0,10
E,2024-02,1.0,10
E,2024-03,1.0,10
E,2024-04,1.0,10
E,2024-05,1.0,10
E,2024-06,1.0,10
E,2024-07,1.0,10
E,2024-08,1.0,10
E,2024-09,1.0,10
E,2024-10,1.0,10
E,2024-11,1.0,10
E,2024-12,0.5,10
E,2025-01,1.0,10
E,2025-02,0.5,10
E,2025-03,0.8660254037844387,10
E,2025-04,1.0,10
E,2025-05,1.0,10
E,2025-06,1.0,10
E,2025-07,1.0,10
E,2025-08,0.8660254037844387,10
E,2025-09,0.5,10
E,2025-10,0.5,10
E,2025-11,0.8660254037844387,10
E,2025-12,0.5,10
E,2026-01,0.8660254037844387,10
E,2026-02,1.0,10
E,2026-03,1.0,10
E,2026-04,1.0,10
E,2026-05,1.0,10
