symbol,n_candidates,uniqueness_mean,uniqueness_std,concurrency_mean,concurrency_max,concurrency_p95,inv_conc_mean,inv_conc_std,composite_mean,composite_std,composite_min,composite_max,frac_composite_below_0p5,frac_composite_above_0p9_below_1p1,frac_composite_above_1p5,frac_concurrency_eq_max,frac_concurrency_ge_p95_band
BTCUSDT,5713,0.04562162850277214,0.003250929871535662,21.959565902328023,22.0,22.0,0.0018379135305443726,0.03455503705943036,1.0,5.6608393792862985,0.7521378773823263,264.98186054776994,0.0,0.0007001575354454753,0.004200945212672852,0.9963241729389113,0.9963241729389113
ETHUSDT,5713,0.04562162850277214,0.003250929871535662,21.959565902328023,22.0,22.0,0.0018379135305443726,0.03455503705943036,1.0,5.6608393792862985,0.7521378773823263,264.98186054776994,0.0,0.0007001575354454753,0.004200945212672852,0.9963241729389113,0.9963241729389113
LINKUSDT,5664,0.045623073959933584,0.003264924391968837,21.959216101694917,22.0,22.0,0.001853813559322034,0.034703760563803615,1.0,5.673061156265395,0.7505285284921981,264.4148790461059,0.0,0.0007062146892655367,0.00423728813559322,0.996292372881356,0.996292372881356
LTCUSDT,5673,0.04573871725841113,0.0035077153527717487,21.91274457958752,22.0,22.0,0.003966155473294554,0.04333305611995755,1.0,5.172283107913831,0.6315949476721394,222.51399561102272,0.0,0.0012339150361360832,0.011457782478406488,0.9888947646747752,0.9888947646747752
DOTUSDT,5011,0.04564503546742022,0.0034705406945546757,21.953901416882857,22.0,22.0,0.0020953901416882856,0.036888856932677024,1.0000000000000002,5.84074333801053,0.7268974884774531,256.0895478294692,0.0,0.0005986828976252245,0.004789463181001796,0.9958092197166234,0.9958092197166234
