symbol,variant,n,mean,std,min,p05,p50,p95,max,kish_n_eff,kish_ratio,rho_vs_baseline_abs_pnl,rho_vs_uniqueness_only,rho_vs_uniform,frac_below_0p5_norm,frac_above_1p5_norm,frac_above_3x_norm
BTCUSDT,afml_literal,5713,1.0,5.6608393792862985,0.7521378773823263,0.7521378773823263,0.7521378773825613,0.7521378773827966,264.98186054776994,172.8849230771761,0.030261670414349046,0.2179538932046277,0.9999997434828485,,0.0,0.004200945212672852,0.003675827061088745
BTCUSDT,afml_inverse_c,5713,1.0,1.1297395111514985,0.9704008578427317,0.9704008578427317,0.970400857843035,0.9704008578433385,78.79450357128216,2509.762105799135,0.4393072126376921,0.21793384253925313,0.9999999143882949,,0.0,0.003675827061088745,0.001750393838613688
BTCUSDT,afml_capped_p95,5713,1.0,1.382606390607227,0.939448495990639,0.939448495990639,0.9394484959909326,0.9394484959912264,66.19446190445328,1962.1511037333953,0.3434537202403983,0.21794855499588303,0.9999997922107734,,0.0,0.004551023980395589,0.003325748293366007
BTCUSDT,abs_pnl_x_uniq,5713,1.0,0.3707999110456769,0.42445562300580814,0.5152393755880427,0.9347938751816942,1.659094042601228,4.243250012520102,5022.450370600735,0.8791266183442561,0.9956592848999747,0.22837929486538408,,0.04446000350078768,0.08559425870820934,0.001750393838613688
BTCUSDT,abs_pnl_x_inv_c,5713,1.0,0.49156755983995176,0.42135964528630276,0.5100805119293809,0.9275326526068137,1.6513382304246813,21.70817116992814,4601.177586491103,0.8053872897761427,0.9975838231888531,0.2237894801347235,,0.04638543672326274,0.0824435497987047,0.002800630141781901
BTCUSDT,sqrt_uniq_x_abs_pnl,5713,1.0000000000000002,0.367368231620459,0.4252713595649147,0.5162295841578249,0.9364085564496754,1.6505671941938334,4.251404867767701,5033.660156819472,0.8810887724172014,0.9978727871175944,0.2248666271996437,,0.04446000350078768,0.08454402240504114,0.0015753544547523193
BTCUSDT,inv_concurrency_only,5713,1.0,0.3296167101058452,0.9897443066545057,0.9897443066545057,0.9897443066545057,0.9897443066545057,21.774374746399126,5153.127276047974,0.9020002233586512,0.0405219499515476,0.11605218365148201,,0.0,0.0024505513740591634,0.0012252756870295817
BTCUSDT,log_inv_c,5713,0.9999999999999997,0.24649723572809218,0.9915756845192851,0.9915756845192851,0.9915756845192851,0.9915756845192851,15.461881605731964,5385.756647724668,0.942719525244997,0.0405219499515476,0.11605218365148201,,0.0,0.0024505513740591634,0.001050236303168213
ETHUSDT,afml_literal,5713,1.0,5.6608393792862985,0.7521378773823263,0.7521378773823263,0.7521378773825613,0.7521378773827966,264.98186054776994,172.8849230771761,0.030261670414349046,0.28052452621239343,0.9999997434828485,,0.0,0.004200945212672852,0.003675827061088745
ETHUSDT,afml_inverse_c,5713,1.0,1.1297395111514985,0.9704008578427317,0.9704008578427317,0.970400857843035,0.9704008578433385,78.79450357128216,2509.762105799135,0.4393072126376921,0.2805102552031324,0.9999999143882949,,0.0,0.003675827061088745,0.001750393838613688
