symbol,mode,n,min_norm,p05_norm,p25_norm,p50_norm,p75_norm,p95_norm,max_norm,frac_below_0p5,frac_above_0p9
BTCUSDT,baseline_abs_pnl,5713,0.4258241463887798,0.5154850518119637,0.7474316319832678,0.9370706267023904,1.1838828462898496,1.6512474113442883,4.256931034863041,0.04393488534920357,0.5573253982145983
BTCUSDT,uniqueness_only,5713,0.9963376351585203,0.9963376351585203,0.9963376351585203,0.9963376351588317,0.9963376351588317,0.9963376351591432,3.677296145534264,0.0,1.0
BTCUSDT,composite,5713,0.7521378773823263,0.7521378773823263,0.7521378773823263,0.7521378773825613,0.7521378773825613,0.7521378773827966,264.98186054776994,0.0,0.005601260283563802
ETHUSDT,baseline_abs_pnl,5713,0.3473187380656072,0.46069445018207056,0.7279056211674783,0.9332910595307591,1.2097810354307719,1.727484891686773,3.4730660755356544,0.070715911079993,0.5417468930509365
ETHUSDT,uniqueness_only,5713,0.9963376351585203,0.9963376351585203,0.9963376351585203,0.9963376351588317,0.9963376351588317,0.9963376351591432,3.677296145534264,0.0,1.0
ETHUSDT,composite,5713,0.7521378773823263,0.7521378773823263,0.7521378773823263,0.7521378773825613,0.7521378773825613,0.7521378773827966,264.98186054776994,0.0,0.005601260283563802
LINKUSDT,baseline_abs_pnl,5664,0.462093912373546,0.5667222326712668,0.7858796617282358,0.9542582332171854,1.1704855072209899,1.5400062635770309,4.620259284156773,0.019067796610169493,0.5826271186440678
LINKUSDT,uniqueness_only,5664,0.9963060686014044,0.9963060686014044,0.9963060686014044,0.9963060686017087,0.9963060686017159,0.9963060686020273,3.677179639266997,0.0,1.0
LINKUSDT,composite,5664,0.7505285284921981,0.7505285284921981,0.7505285284921981,0.7505285284924273,0.7505285284924327,0.7505285284926674,264.4148790461059,0.0,0.005649717514124294
LTCUSDT,baseline_abs_pnl,5673,0.3488644712769063,0.43272900870728276,0.72405691728291,0.9271499220510634,1.22436641425553,1.7682818966346496,3.4869315588381142,0.08161466596157237,0.534285210646924
LTCUSDT,uniqueness_only,5673,0.9937870622327885,0.9937870622327885,0.9937870622327885,0.9937870622330991,0.9937870622330991,0.9937870622334098,3.6678824571843247,0.0,1.0
LTCUSDT,composite,5673,0.6315949476721394,0.6315949476721394,0.6315949476721394,0.6315949476723368,0.6315949476723368,0.6315949476725343,222.51399561102272,0.0,0.013220518244315178
DOTUSDT,baseline_abs_pnl,5011,0.3518348652632527,0.4777352593167258,0.7156217015515645,0.9262124374578166,1.23065804420655,1.716468828208897,3.5167335029782456,0.05907004589902215,0.5328277788864498
DOTUSDT,uniqueness_only,5011,0.9958267090618508,0.9958267090618508,0.9958267090618508,0.9958267090618508,0.9958267090621621,0.9958267090621621,3.675410412726794,0.0,1.0
DOTUSDT,composite,5011,0.726897488477453,0.726897488477453,0.726897488477453,0.726897488477453,0.7268974884776801,0.7268974884776801,256.08954782946915,0.0,0.00618638994212732
