candidate,pooled_lift,pooled_abs,max_single_sym_abs,max_carrier,ssc_ratio,ssc_risk
C1_obv_signed_volmom,0.0019,0.0019,0.0151,LDOUSDT,7.77,True
C2_vwap_signed_volcv,0.0003,0.0003,0.0057,LDOUSDT,19.71,True
C3_ret5d_signed_skew50,-0.0007,0.0007,0.0082,LDOUSDT,11.66,True
C4_symvsbtc_signed_kurt50,0.003,0.003,0.0064,BCHUSDT,2.12,True
C5_maxdd_signed_skew200,0.006,0.006,0.0132,BCHUSDT,2.21,True
C6_ret5d_signed_tbi,0.0083,0.0083,0.0123,LDOUSDT,1.48,False
