candidate,baseline_pooled_auc,cand_pooled_auc,pooled_lift,BCH_lift,LDO_lift,TRX_lift
C6_ret5d_signed_tbi,0.4954,0.5037,0.0083,0.0057,0.0123,0.0053
C5_maxdd_signed_skew200,0.4954,0.5013,0.006,0.0132,0.0082,0.0018
C4_symvsbtc_signed_kurt50,0.4954,0.4984,0.003,0.0064,0.0006,0.0039
C1_obv_signed_volmom,0.4954,0.4973,0.0019,0.0007,0.0151,-0.008
C2_vwap_signed_volcv,0.4954,0.4957,0.0003,-0.0051,0.0057,-0.0025
C3_ret5d_signed_skew50,0.4954,0.4947,-0.0007,0.0058,0.0082,-0.0074
