candidate,full,frac_pos,dispersion,worst,recent,recent3,n_scored,n_trades,win_rate,mean_ret_pct,sharpe_2020-01-01,sharpe_2020-07-01,sharpe_2020-12-31,sharpe_2021-07-01,sharpe_2021-12-31,sharpe_2022-07-01,sharpe_2022-12-31,sharpe_2023-07-01,sharpe_2023-12-31,sharpe_2024-06-30,sharpe_2024-12-30
C0_symmetric,0.3165,0.636,1.3471,-2.5551,1.4505,0.6126,11,5485,0.4941,0.776,-1.265,1.979,1.042,-0.351,1.431,-2.555,-0.701,0.75,0.334,0.054,1.45
Cb_short_and_flat,-0.5785,0.273,2.8275,-5.3519,3.1578,-0.7008,11,2346,0.4284,-1.3888,-3.423,-5.352,2.291,-1.259,2.124,-1.493,-4.175,-2.121,-1.594,-3.666,3.158
Cc_long_and_flat,0.9805,0.727,3.4972,-9.4955,-0.7426,0.5018,11,3139,0.5432,2.3939,1.108,4.017,0.66,0.421,-2.557,-9.495,1.148,1.812,0.879,1.369,-0.743
Cd_trendStrength_gate,1.2126,0.7,2.3272,-4.4108,2.2916,2.0937,10,2328,0.5636,2.9034,,3.86,0.775,-0.73,1.756,-4.411,-0.239,2.578,1.988,2.002,2.292
Ca_asymThr_band0.00,0.2048,0.545,1.478,-2.3753,1.7823,0.5302,11,4493,0.491,0.5145,-1.605,2.098,0.657,-0.201,1.609,-2.375,-1.433,0.788,0.357,-0.549,1.782
Ca_asymThr_band0.02,0.2011,0.455,1.5641,-2.3749,1.7211,0.3865,11,4333,0.489,0.502,-1.832,2.104,0.837,-0.159,1.666,-2.375,-1.736,1.174,-0.065,-0.497,1.721
Ca_asymThr_band0.04,0.2274,0.455,1.5786,-2.2228,1.6208,0.4111,11,4166,0.489,0.5605,-2.158,1.836,1.334,-0.152,1.662,-2.223,-1.848,1.153,-0.157,-0.231,1.621
Ca_asymThr_band0.06,0.2773,0.545,1.6004,-2.2695,1.9477,0.6331,11,4031,0.4924,0.6782,-2.27,1.8,1.5,-0.36,1.694,-1.949,-1.891,0.991,-0.058,0.009,1.948
