book,full,frac_pos,dispersion,worst,recent1,recent2,recent3,n_pos,n_scored,n_trades,win_rate,mean_ret_pct,sharpe_2020-01-01,sharpe_2020-07-01,sharpe_2020-12-31,sharpe_2021-07-01,sharpe_2021-12-31,sharpe_2022-07-01,sharpe_2022-12-31,sharpe_2023-07-01,sharpe_2023-12-31,sharpe_2024-06-30,sharpe_2024-12-30
Cd_strong_BOTH,1.2126,0.7,2.3272,-4.4108,2.292,2.147,2.094,7,10,2328,0.5636,2.9034,,3.86,0.775,-0.73,1.756,-4.411,-0.239,2.578,1.988,2.002,2.292
Cd_strong_LONG,1.7932,0.75,8.4538,-21.6046,2.705,2.38,2.867,6,8,1531,0.6179,4.1613,,3.86,0.454,-0.616,-21.605,,0.834,3.841,2.055,2.705,
Cd_strong_SHORT,0.1977,0.286,6.9015,-16.7399,-16.74,-9.582,-9.743,2,7,797,0.4592,0.4871,,,2.113,-0.89,2.142,-4.411,-10.066,-2.425,,-16.74,
weak_BOTH,-0.219,0.3,1.1572,-2.1299,1.431,0.249,-0.11,3,10,2809,0.4582,-0.5407,,-0.467,1.325,-0.067,1.032,-2.13,-1.002,-0.604,-0.829,-0.933,1.431
weak_LONG,0.2218,0.6,3.8073,-9.4955,-0.845,-0.218,-0.264,6,10,1412,0.4759,0.5807,,5.684,0.852,1.19,-1.747,-9.495,1.537,0.237,-0.356,0.41,-0.845
weak_SHORT,-0.7313,0.4,2.9586,-5.3519,3.228,-0.087,-0.601,4,10,1397,0.4402,-1.6741,,-5.352,2.873,-1.661,2.118,0.062,-3.686,-2.518,-1.63,-3.402,3.228
E1_long_lenient_short_strict,1.2132,0.8,2.7164,-6.2262,1.13,1.909,1.605,8,10,2523,0.5561,2.8747,,3.821,0.96,-0.063,1.284,-6.226,0.145,2.481,0.996,2.688,1.13
E2_long_strict_short_lenient,0.7406,0.6,2.6362,-3.7142,4.188,1.534,1.557,6,10,2253,0.5166,1.8212,,4.057,1.129,-1.004,1.983,-3.714,-2.222,2.191,1.603,-1.121,4.188
