book,full,frac_pos,dispersion,worst,recent,n_scored,n_trades,win_rate,mean_ret_pct,sharpe_2020-01-01,wr_2020-01-01,n_2020-01-01,sharpe_2020-07-01,wr_2020-07-01,n_2020-07-01,sharpe_2020-12-31,wr_2020-12-31,n_2020-12-31,sharpe_2021-07-01,wr_2021-07-01,n_2021-07-01,sharpe_2021-12-31,wr_2021-12-31,n_2021-12-31,sharpe_2022-07-01,wr_2022-07-01,n_2022-07-01,sharpe_2022-12-31,wr_2022-12-31,n_2022-12-31,sharpe_2023-07-01,wr_2023-07-01,n_2023-07-01,sharpe_2023-12-31,wr_2023-12-31,n_2023-12-31,sharpe_2024-06-30,wr_2024-06-30,n_2024-06-30,sharpe_2024-12-30,wr_2024-12-30,n_2024-12-30
FULL_symmetric,0.3165,0.636,1.3471,-2.5551,1.4505,11,5485,0.4941,0.776,-1.265,0.319,348,1.979,0.55,547,1.042,0.582,548,-0.351,0.508,547,1.431,0.562,548,-2.555,0.325,547,-0.701,0.476,548,0.75,0.563,547,0.334,0.453,548,0.054,0.488,547,1.45,0.624,210
LONG_leg_only,0.9805,0.727,3.4972,-9.4955,-0.7426,11,3139,0.5432,2.3939,1.108,0.444,196,4.017,0.74,393,0.66,0.551,363,0.421,0.519,343,-2.557,0.269,104,-9.495,0.073,96,1.148,0.57,386,1.812,0.634,393,0.879,0.462,411,1.369,0.597,360,-0.743,0.426,94
SHORT_leg_only,-0.5785,0.273,2.8275,-5.3519,3.1578,11,2346,0.4284,-1.3888,-3.423,0.158,152,-5.352,0.065,154,2.291,0.643,185,-1.259,0.49,204,2.124,0.631,444,-1.493,0.379,451,-4.175,0.253,162,-2.121,0.383,154,-1.594,0.423,137,-3.666,0.278,187,3.158,0.784,116
