exit_reason,n_trades,share,wr,avg_net_pnl_pct
stop_loss,334,0.537842190016103,0.0,-5.01065
timeout,152,0.24476650563607086,0.743421052631579,2.876067763157895
take_profit,135,0.21739130434782608,1.0,9.536128888888888
