symbol,direction,n_trades,n_loss,wr,pnl_per_trade,loss_share_of_total
ETHUSDT,short,75,48,0.36,-0.32717733333333354,0.128686327077748
LTCUSDT,long,74,47,0.36486486486486486,-0.1462472972972971,0.1260053619302949
LINKUSDT,long,82,43,0.47560975609756095,1.1309707317073172,0.11528150134048257
ETHUSDT,long,70,41,0.4142857142857143,0.15483571428571424,0.10991957104557641
BTCUSDT,short,59,40,0.3220338983050847,-0.5534457627118644,0.10723860589812333
LINKUSDT,short,64,37,0.421875,-0.32310625,0.09919571045576407
BTCUSDT,long,54,35,0.35185185185185186,-0.08560000000000006,0.0938337801608579
DOTUSDT,long,56,32,0.42857142857142855,0.4533321428571429,0.08579088471849866
LTCUSDT,short,50,28,0.44,0.28190800000000016,0.07506702412868632
DOTUSDT,short,37,22,0.40540540540540543,0.033448648648648854,0.058981233243967826
