symbol,n_candles_is,label_horizon_bars,concurrency_mean,concurrency_p50,concurrency_p90,avg_uniqueness,frac_unique_below_0p5
BTCUSDT,3534,9,8.97962648556876,9.0,9.0,0.11214618086434726,0.9988681380871534
ETHUSDT,3534,9,8.97962648556876,9.0,9.0,0.11214618086434726,0.9988681380871534
LINKUSDT,3534,9,8.97962648556876,9.0,9.0,0.11214618086434726,0.9988681380871534
LTCUSDT,3519,9,8.979539641943735,9.0,9.0,0.11215059292638153,0.9988633134413185
DOTUSDT,3534,9,8.97962648556876,9.0,9.0,0.11214618086434726,0.9988681380871534
