symbol,adf_p_close_raw,adf_p_log_return,adf_p_rsi_14,adf_p_atr_14_raw,adf_p_natr_14,adf_p_volume_pctchg_5
BTCUSDT,0.901313486776395,0.0,2.6660109481234167e-17,0.014156725362638505,3.436600681297208e-08,2.424943394846749e-21
ETHUSDT,0.2914795251859631,1.517434412954906e-28,5.8911975998497705e-18,0.0027731209086900624,1.4788732355517749e-08,7.119959224697759e-26
LINKUSDT,0.10708085482693996,0.0,4.953548935164917e-19,0.011556515919730765,5.433475950574137e-09,2.5338979830798924e-26
LTCUSDT,0.08753362189369945,2.8484155300560055e-29,4.35513648759288e-21,0.00489575066977023,4.940265386542176e-07,2.1586881681752467e-27
DOTUSDT,0.3371076755267548,1.2109702123828825e-24,5.329267757480786e-16,0.02576591376632916,8.822072339052346e-08,3.695972546422118e-28
