sample,symbol,direction,model,n_trades,n_loss,win_rate,net_pnl_pct,avg_pnl_per_trade,loss_share_of_total,pnl_share_of_total
IS-full,BTCUSDT,short,A,59,40,0.3220338983050847,-32.6533,-0.5534457627118644,0.10723860589812333,-0.640479300781051
IS-full,ETHUSDT,short,A,75,48,0.36,-24.538300000000014,-0.32717733333333354,0.128686327077748,-0.4813073479971602
IS-full,LINKUSDT,short,C,64,37,0.421875,-20.6788,-0.32310625,0.09919571045576407,-0.4056050495659304
IS-full,LTCUSDT,long,D,74,47,0.36486486486486486,-10.822299999999986,-0.1462472972972971,0.1260053619302949,-0.21227438380937785
IS-full,BTCUSDT,long,A,54,35,0.35185185185185186,-4.622400000000003,-0.08560000000000006,0.0938337801608579,-0.09066622730107927
IS-full,DOTUSDT,short,E,37,22,0.40540540540540543,1.2376000000000076,0.033448648648648854,0.058981233243967826,0.024274948707990723
IS-full,ETHUSDT,long,A,70,41,0.4142857142857143,10.838499999999996,0.15483571428571424,0.10991957104557641,0.2125921392788912
IS-full,LTCUSDT,short,D,50,28,0.44,14.095400000000009,0.28190800000000016,0.07506702412868632,0.2764747188256388
IS-full,DOTUSDT,long,E,56,32,0.42857142857142855,25.3866,0.4533321428571429,0.08579088471849866,0.49794635816925786
IS-full,LINKUSDT,long,C,82,43,0.47560975609756095,92.73960000000001,1.1309707317073172,0.11528150134048257,1.8190441444728207
OOS-full,LTCUSDT,long,D,19,14,0.2631578947368421,-45.4432,-2.3917473684210524,0.12389380530973451,-1.827229593888218
OOS-full,ETHUSDT,short,A,22,14,0.36363636363636365,-11.297600000000001,-0.5135272727272727,0.12389380530973451,-0.4542661841576195
OOS-full,LTCUSDT,short,D,15,10,0.3333333333333333,-1.8052000000000006,-0.1203466666666667,0.08849557522123894,-0.07258544431041415
OOS-full,DOTUSDT,long,E,20,13,0.35,-1.6035000000000008,-0.08017500000000004,0.11504424778761062,-0.06447527141133898
OOS-full,DOTUSDT,short,E,26,15,0.4230769230769231,3.5623999999999914,0.1370153846153843,0.13274336283185842,0.1432408524326494
OOS-full,LINKUSDT,long,C,10,6,0.4,3.6183000000000005,0.36183000000000004,0.05309734513274336,0.14548854041013265
OOS-full,ETHUSDT,long,A,24,14,0.4166666666666667,14.0527,0.5855291666666667,0.12389380530973451,0.5650462404503416
OOS-full,BTCUSDT,long,A,18,10,0.4444444444444444,14.6367,0.8131499999999999,0.08849557522123894,0.5885283474065136
OOS-full,BTCUSDT,short,A,17,9,0.47058823529411764,18.533200000000004,1.090188235294118,0.07964601769911504,0.7452030558906312
OOS-full,LINKUSDT,short,C,18,8,0.5555555555555556,30.6162,1.7008999999999999,0.07079646017699115,1.2310494571773216
