sample,model,symbols,n_trades,win_rate,n_loss,net_pnl_pct,avg_pnl_per_trade,loss_share_of_total,pnl_share_of_total,worst_cell_sym_dir,worst_cell_avg_pnl,worst_cell_n_trades
IS-full,A,"BTCUSDT,ETHUSDT",258,0.3643410852713178,164,-50.9755,-0.19757945736434107,0.43967828418230565,-0.9998607368003987,BTCUSDT short,-0.5534457627118644,59
IS-full,C,LINKUSDT,146,0.4520547945205479,80,72.0608,0.4935671232876712,0.21447721179624665,1.41343909490689,LINKUSDT short,-0.32310625,64
IS-full,D,LTCUSDT,124,0.3951612903225806,75,3.273099999999999,0.026395967741935474,0.20107238605898123,0.06420033501626045,LTCUSDT long,-0.1462472972972971,74
IS-full,E,DOTUSDT,93,0.41935483870967744,54,26.624199999999995,0.28628172043010747,0.1447721179624665,0.5222213068772483,DOTUSDT short,0.033448648648648854,37
OOS-full,A,"BTCUSDT,ETHUSDT",81,0.41975308641975306,47,35.92500000000001,0.44351851851851865,0.415929203539823,1.4445114595898674,ETHUSDT short,-0.5135272727272727,22
OOS-full,C,LINKUSDT,28,0.5,14,34.2345,1.2226607142857142,0.12389380530973451,1.376537997587454,LINKUSDT long,0.36183000000000004,10
OOS-full,D,LTCUSDT,34,0.29411764705882354,24,-47.248400000000004,-1.3896588235294118,0.21238938053097345,-1.8998150381986325,LTCUSDT long,-2.3917473684210524,19
OOS-full,E,DOTUSDT,46,0.391304347826087,28,1.9589000000000012,0.04258478260869568,0.24778761061946902,0.07876558102131084,DOTUSDT long,-0.08017500000000004,20
