symbol,n_trades,n_timeout,timeout_share,timeout_wr
BTCUSDT,113,15,0.13274336283185842,0.7333333333333333
ETHUSDT,145,29,0.2,0.6551724137931034
LINKUSDT,146,46,0.3150684931506849,0.8695652173913043
LTCUSDT,124,36,0.2903225806451613,0.6666666666666666
DOTUSDT,93,26,0.27956989247311825,0.7307692307692307
