cohort,n,mean,std,down_std,sharpe,sortino,ratio,down_frac,skew
PORTFOLIO,621,0.18209758454106284,6.700057059413624,2.1350773830206387,0.027178512500160658,0.08528851740419686,3.13808628797079,0.5974235104669887,0.7886827342105815
Model_A_pool,258,-0.09757945736434104,5.406930401070451,1.8048941160160448,-0.018047108086507363,-0.054063812662722206,2.995705040584434,0.627906976744186,0.8943062091543355
Model_C_LINK,146,0.5935671232876712,8.140301553551609,2.011924073939779,0.07291709273702499,0.29502461398821056,4.04602820702431,0.547945205479452,0.5822239780295452
Model_D_LTC,124,0.1263959677419354,6.867444637955734,1.8439235253623967,0.01840509453011918,0.06854729385650313,3.7243652155292275,0.6048387096774194,0.8648764985096269
Model_E_DOT,93,0.3862817204301075,7.156258314831194,2.240144924043249,0.05397816895870665,0.17243604031336762,3.194551494425114,0.5806451612903226,0.6990817323148688
