symbol,trades,wins,win_rate,net_pnl_pct,avg_pnl_pct,pct_of_total_pnl
BTCUSDT,190,67,35.3,-43.5632,-0.2293,-33.59
DOTUSDT,149,73,49.0,116.335,0.7808,89.71
ETHUSDT,198,78,39.4,56.9092,0.2874,43.88
