partition,bucket,n,frac,dir_acc,econ,ic,trades_mo,mean_ret
TREND50 slope,up (slope>0),2358,0.5161996497373029,0.4245122985581001,-0.3159903238781822,-0.13465793744719626,47.00763185469786,0.2717979982916443
TREND50 slope,down (slope<0),2210,0.483800350262697,0.4447963800904977,0.12396441638776969,-0.08219697947820503,44.05719524973804,0.3640816315886395
TREND100 slope,up (slope>0),2479,0.5426882661996497,0.4647035094796289,0.1537415983026338,-0.03064814673744715,49.41981313307719,0.5568569481437475
TREND100 slope,down (slope<0),2089,0.4573117338003503,0.39827668741024413,-0.4079795335950272,-0.18866685437235364,41.645013971358715,0.031149694272015388
"VOL tercile (natr, roll250)",low vol,1761,0.385507880910683,0.39636570130607607,-0.3929296275149989,-0.16554501185577059,35.10620852252882,-0.1517881165128534
"VOL tercile (natr, roll250)",mid vol,1334,0.29203152364273205,0.42653673163418293,-0.032709336490322545,-0.12935871045586836,26.59380020957038,0.7032144330872327
"VOL tercile (natr, roll250)",high vol,1473,0.32246059544658495,0.48676171079429736,0.1795244436145421,-0.05180791535077485,29.364818372336707,0.5259544502534668
ADX band,chop adx<20,1313,0.2874343257443082,0.4150799695354151,-0.3294360045086883,-0.18270384442085186,26.17515717778554,0.3625536292393154
ADX band,grey 20-25,903,0.19767950963222417,0.4418604651162791,-0.2132669181463015,-0.12041286989855329,18.001650366748166,-0.23808534732027567
ADX band,trend adx>=25,2352,0.5148861646234676,0.4421768707482993,0.06547010098564415,-0.06241855083518036,46.8880195599022,0.5036046935465893
|prior ret| tercile,calm,1537,0.33647110332749564,0.41899804814573843,-0.15136952859711159,-0.14275212894154346,30.640682850157177,0.1937827011908297
|prior ret| tercile,normal,1531,0.33515761821366025,0.4389288047028086,-0.03743633033495182,-0.0916011019005105,30.521070555361508,0.4778345196605043
|prior ret| tercile,turbulent,1500,0.3283712784588441,0.44533333333333336,-0.12078255752747412,-0.09815795153031785,29.90307369891722,0.2774076163013688
