gate,n,dir_acc,model,longonly,shortonly,flip,verdict
VOL high (natr>p67),1473,0.48676171079429736,0.1795244436145421,0.4259544502534671,-0.6259544502534667,-0.37952444361454185,weak
TREND100 up,2479,0.4647035094796289,0.1537415983026338,0.4568569481437476,-0.6568569481437475,-0.35374159830263374,weak
TREND50 down,2210,0.4447963800904977,0.12396441638776969,0.2640816315886395,-0.4640816315886393,-0.3239644163877694,weak
ADX>=25,2352,0.4421768707482993,0.06547010098564415,0.4036046935465894,-0.6036046935465892,-0.26547010098564394,weak
VOL high & TREND100 up,793,0.519546027742749,0.40978118629704474,0.7692777719437685,-0.9692777719437682,-0.6097811862970446,weak
