label_config,mode,n_valid,long_share,base_label_econ_net%,oof_dir_acc,oof_score_ic,oof_r2,oof_econ_net%/cand,trades/mo
tb_atr2.9/1.45_to21 (CURRENT),triple_barrier,5726,0.5438351379671673,5.1179980623535535,0.4886164623467601,-0.021953809032843975,-0.343418615153148,-0.23977131888462966,91.32
tb_atr2.9/1.45_to42 (14d),triple_barrier,5726,0.5740482011875655,5.905187775216171,0.48971103327495624,-0.025573565482111017,-0.2516832902199113,-0.22203361330110336,91.32
tb_atr2.9/1.45_to63 (21d),triple_barrier,5726,0.5806845965770171,6.121177173229822,0.49496497373029774,0.0029109211082792804,-0.2557493596662983,-0.10007423736915516,91.32
tb_atr2.0/2.0_to21 (sym),triple_barrier,5726,0.536500174641984,4.651666194387669,0.5098511383537653,-0.008662391736652767,-0.3029543834196846,-0.15504747396219162,91.32
tb_atr2.0/1.0_to21 (tight2:1),triple_barrier,5726,0.5302130632203982,4.204328537989198,0.48795971978984237,-0.0468310127925049,-0.37571500273760905,-0.41490071346924007,91.32
"tb_atr4.0/2.0_to42 (wide2:1,14d)",triple_barrier,5726,0.5796367446734195,6.955531986548815,0.5096322241681261,0.031728113682331846,-0.2555090386015615,0.24398513408261227,91.32
fh_N1 (8h),fixed_horizon,5726,0.5148445686342997,1.116215881466935,0.5108386249178892,0.031076055556351408,-0.07466849214464477,-0.07083072997780267,91.32
fh_N3 (1d),fixed_horizon,5724,0.523759608665269,2.1429869465540987,0.49956178790534617,0.02033415475525566,-0.19799860556411386,-0.14930556294288824,91.28810338805448
fh_N6 (2d),fixed_horizon,5721,0.5374934452018878,3.1189289074954,0.4866345311130587,0.006625790047275737,-0.2660635219452443,-0.08558770001432893,91.24025847013621
fh_N9 (3d),fixed_horizon,5718,0.5383001049317944,3.9686087154351193,0.49473684210526314,-0.016887485879105442,-0.3918956256670496,-0.2509425050318252,91.19241355221794
fh_N21 (7d),fixed_horizon,5706,0.5443392919733614,6.337314650244473,0.5015377855887522,-0.027065535624303076,-0.8769678808431647,0.007873261758889385,91.00103388054488
"ts_grid(5,8,13,21)",trend_scanning,5722,0.553303040894792,6.836451320922959,0.511612620508326,-0.004676397686875555,-0.4681721567002979,0.04595847322933758,91.25620677610897
"ts_grid(3,6,9)",trend_scanning,5724,0.529874213836478,4.271375953912862,0.4899211218229623,-0.0005951348358044059,-0.3660319492863635,-0.25346072105147904,91.28810338805448
