year,n_bars,year_cum_return,ret_mean,ret_std,pos_bar_frac,neg_bar_frac,implied_directional_bias
2020,986,0.3238,0.000861,0.033714,0.5132,0.4807,BULL
2021,1095,4.0094,0.00265,0.048592,0.5005,0.4995,BULL
2022,1095,-0.7114,-0.000571,0.033571,0.4895,0.5078,BEAR
2023,1095,0.1347,0.000314,0.019936,0.4995,0.4977,CHOP
2024,1098,-0.4169,-0.000186,0.024776,0.4982,0.4945,BEAR
2025,246,-0.2242,-0.000584,0.029751,0.5366,0.4593,BEAR
