lookback_bars,horizon_bars,n_obs,ann_sharpe_IS,long_frac,short_frac
5,1,5609,0.6379,0.5011,0.4979
5,3,5607,0.3948,0.5011,0.4979
5,5,5605,0.2854,0.5011,0.4979
5,10,5600,0.285,0.5011,0.4979
10,1,5604,0.4984,0.496,0.5028
10,3,5602,0.3935,0.496,0.5028
10,5,5600,0.3082,0.496,0.5028
10,10,5595,-0.0835,0.496,0.5028
20,1,5594,0.1273,0.4928,0.5069
20,3,5592,0.175,0.4928,0.5069
20,5,5590,0.4183,0.4928,0.5069
20,10,5585,0.7772,0.4928,0.5069
30,1,5584,0.6282,0.4874,0.5126
30,3,5582,1.3217,0.4874,0.5126
30,5,5580,1.593,0.4874,0.5126
30,10,5575,1.88,0.4874,0.5126
60,1,5554,0.5158,0.4632,0.5368
60,3,5552,0.8586,0.4632,0.5368
60,5,5550,1.2303,0.4632,0.5368
60,10,5545,1.6766,0.4632,0.5368
