anchor,rolling_90_corr_mean,rolling_90_corr_median,rolling_90_corr_p25,rolling_90_corr_p75,full_window_corr,n_overlap
BTCUSDT,0.6329,0.6633,0.5474,0.7429,0.6169,5614
ETHUSDT,0.6793,0.701,0.6022,0.7831,0.6727,5614
DOTUSDT,0.7424,0.7542,0.6858,0.8246,0.7116,5024
LTCUSDT,0.6437,0.6607,0.5478,0.7506,0.6334,5599
LINKUSDT,0.6873,0.7117,0.6,0.7885,0.6813,5614
