symbol,close_time,weighted_pnl,cum_wpnl,peak_30d,dd_30d,period,brake_state,action
BCHUSDT,1643615999999,-1.8825,-1.8825,-1.8825,0.0,IS,off,taken
BCHUSDT,1644508799999,0.0,-1.8825,-1.8825,0.0,IS,off,taken
BCHUSDT,1645142399999,3.8216,1.9391,1.9391,0.0,IS,off,taken
BCHUSDT,1645689599999,-2.2208,-0.28170000000000006,1.9391,2.2208,IS,off,taken
BCHUSDT,1645862399999,-4.0732,-4.3549,1.9391,6.294,IS,off,taken
BCHUSDT,1646812799999,3.2955,-1.0593999999999997,1.9391,2.9985,IS,off,taken
BCHUSDT,1648425599999,-2.8207,-3.8800999999999997,-1.0593999999999997,2.8207,IS,off,taken
BCHUSDT,1648655999999,0.0,-3.8800999999999997,-1.0593999999999997,2.8207,IS,off,taken
BCHUSDT,1649260799999,7.2482,3.3681,3.3681,0.0,IS,off,taken
BCHUSDT,1649663999999,3.8515,7.2196,7.2196,0.0,IS,off,taken
BCHUSDT,1650585599999,2.3328,9.5524,9.5524,0.0,IS,off,taken
BCHUSDT,1652227199999,0.0,9.5524,9.5524,0.0,IS,off,taken
BCHUSDT,1658649599999,-1.5834,7.969,7.969,0.0,IS,off,taken
BCHUSDT,1658966399999,-1.8838,6.0852,7.969,1.8838,IS,off,taken
BCHUSDT,1659311999999,0.0,6.0852,7.969,1.8838,IS,off,taken
BCHUSDT,1660060800000,0.2069,6.2921000000000005,7.969,1.6768999999999998,IS,off,taken
BCHUSDT,1661270399999,-1.8705,4.421600000000001,6.2921000000000005,1.8704999999999998,IS,off,taken
BCHUSDT,1661529599999,3.2772,7.6988,7.6988,0.0,IS,off,taken
BCHUSDT,1661846399999,-1.7562,5.9426000000000005,7.6988,1.7561999999999998,IS,off,taken
BCHUSDT,1662739199999,-2.0137,3.9289000000000005,7.6988,3.7699,IS,off,taken
BCHUSDT,1663545599999,-2.9915,0.9374000000000007,7.6988,6.7614,IS,off,taken
BCHUSDT,1664351999999,3.0204,3.9578000000000007,5.9426000000000005,1.9848,IS,off,taken
BCHUSDT,1667433599999,-0.9572,3.0006000000000004,3.0006000000000004,0.0,IS,off,taken
BCHUSDT,1667779199999,-1.6503,1.3503000000000003,3.0006000000000004,1.6503,IS,off,taken
BCHUSDT,1667951999999,-2.331,-0.9806999999999997,3.0006000000000004,3.9813,IS,off,taken
BCHUSDT,1668412799999,-5.8027,-6.783399999999999,3.0006000000000004,9.783999999999999,IS,off,taken
BCHUSDT,1669161600000,0.0,-6.783399999999999,3.0006000000000004,9.783999999999999,IS,off,taken
BCHUSDT,1669622399999,-1.5924,-8.3758,3.0006000000000004,11.3764,IS,off,taken
BCHUSDT,1673539199999,-0.6653,-9.0411,-9.0411,0.0,IS,off,taken
BCHUSDT,1674086399999,0.0,-9.0411,-9.0411,0.0,IS,off,taken
BCHUSDT,1674691199999,0.0,-9.0411,-9.0411,0.0,IS,off,taken
BCHUSDT,1675324799999,0.0,-9.0411,-9.0411,0.0,IS,off,taken
BCHUSDT,1676303999999,-2.1236,-11.1647,-9.0411,2.1235999999999997,IS,off,taken
BCHUSDT,1676505599999,2.8162,-8.3485,-8.3485,0.0,IS,off,taken
BCHUSDT,1676879999999,-2.2951,-10.6436,-8.3485,2.2950999999999997,IS,off,taken
BCHUSDT,1678521599999,-1.6474,-12.290999999999999,-8.3485,3.942499999999999,IS,off,taken
BCHUSDT,1679702399999,-3.2165,-15.507499999999999,-12.290999999999999,3.2165,IS,off,taken
BCHUSDT,1680537599999,2.3451,-13.162399999999998,-12.290999999999999,0.8713999999999995,IS,off,taken
BCHUSDT,1683158400000,1.0575,-12.104899999999997,-12.104899999999997,0.0,IS,off,taken
BCHUSDT,1693468799999,-1.7251,-13.829999999999997,-13.829999999999997,0.0,IS,off,taken
BCHUSDT,1694217600000,1.6005,-12.229499999999996,-12.229499999999996,0.0,IS,off,taken
BCHUSDT,1694851199999,-2.1667,-14.396199999999997,-12.229499999999996,2.1667000000000005,IS,off,taken
BCHUSDT,1695052799999,-1.6943,-16.090499999999995,-12.229499999999996,3.860999999999999,IS,off,taken
BCHUSDT,1695628799999,3.1746,-12.915899999999995,-12.229499999999996,0.686399999999999,IS,off,taken
BCHUSDT,1696262399999,-2.2529,-15.168799999999996,-12.229499999999996,2.9392999999999994,IS,off,taken
BCHUSDT,1696867199999,-2.7989,-17.967699999999997,-12.915899999999995,5.051800000000002,IS,off,taken
BCHUSDT,1697443199999,3.4174,-14.550299999999996,-12.915899999999995,1.6344000000000012,IS,off,taken
BCHUSDT,1697788799999,-1.8878,-16.438099999999995,-12.915899999999995,3.5221999999999998,IS,off,taken
BCHUSDT,1698451199999,0.0,-16.438099999999995,-14.550299999999996,1.8877999999999986,IS,off,taken
BCHUSDT,1698940799999,-2.0604,-18.498499999999996,-14.550299999999996,3.9482,IS,off,taken
BCHUSDT,1700006399999,6.7951,-11.703399999999997,-11.703399999999997,0.0,IS,off,taken
BCHUSDT,1700611199999,5.1269,-6.576499999999997,-6.576499999999997,0.0,IS,off,taken
BCHUSDT,1701964799999,-2.8275,-9.403999999999996,-6.576499999999997,2.8274999999999997,IS,off,taken
