threshold,symbol,n_taken,n_paused,n_total,pct_paused,original_wpnl,counterfactual_wpnl,wpnl_delta
0.5,BCHUSDT,86,0,86,0.0,47.691200000000016,47.691200000000016,0.0
0.5,TRXUSDT,27,58,85,68.23529411764706,-17.79089999999999,-11.616200000000001,6.174699999999989
0.5,LDOUSDT,9,0,9,0.0,5.6690000000000005,5.6690000000000005,0.0
0.7,BCHUSDT,86,0,86,0.0,47.691200000000016,47.691200000000016,0.0
0.7,TRXUSDT,45,40,85,47.05882352941176,-17.79089999999999,-18.697,-0.9061000000000092
0.7,LDOUSDT,9,0,9,0.0,5.6690000000000005,5.6690000000000005,0.0
1.0,BCHUSDT,86,0,86,0.0,47.691200000000016,47.691200000000016,0.0
1.0,TRXUSDT,57,28,85,32.94117647058823,-17.79089999999999,-27.553299999999997,-9.762400000000007
1.0,LDOUSDT,9,0,9,0.0,5.6690000000000005,5.6690000000000005,0.0
1.5,BCHUSDT,86,0,86,0.0,47.691200000000016,47.691200000000016,0.0
1.5,TRXUSDT,85,0,85,0.0,-17.79089999999999,-17.79089999999999,0.0
1.5,LDOUSDT,9,0,9,0.0,5.6690000000000005,5.6690000000000005,0.0
