split,symbol,n_trades,n_active,wins,win_rate_pct,weighted_pnl,concentration_pct
IS,BCHUSDT,87,69,29,33.33,28.1129,78.72
IS,LDOUSDT,10,9,3,30.0,14.9254,41.79
IS,TRXUSDT,75,66,21,28.0,-7.3262,-20.51
OOS,BCHUSDT,38,38,16,42.11,6.1421,78.03
OOS,LDOUSDT,16,16,5,31.25,-10.2361,-130.05
OOS,TRXUSDT,48,48,21,43.75,11.965,152.01
