symbol,current_tp,current_sl,current_spread_pct,current_barrier_balance,recommended_tp,recommended_sl,recommended_spread_pct,recommended_barrier_balance,spread_delta,n_labelable_delta,note
BCHUSDT,2.0,1.0,-0.1671,0.4953,2.0,1.25,0.0705,0.6154,0.2376,0,per-symbol recalibration improves directional_spread
LDOUSDT,2.0,1.0,-0.7085,0.4454,1.5,1.25,-0.2436,0.8024,0.4649,0,per-symbol recalibration improves directional_spread
TRXUSDT,2.0,1.0,-0.0558,0.5027,2.0,1.0,-0.0558,0.5027,0.0,0,"eligible optimum does NOT beat current global — keep (2.0, 1.0) for this symbol (no data-snoop)"
