symbol,side,natr_median_pct,n_labelable,tp_hit_rate,sl_hit_rate,timeout_rate,tp_to_sl_ratio
BCHUSDT,LONG,3.6959,5727,0.3024,0.6365,0.0611,0.4752
BCHUSDT,SHORT,3.6959,5727,0.3167,0.6136,0.0697,0.5162
LDOUSDT,LONG,5.0068,2741,0.2733,0.6914,0.0354,0.3953
LDOUSDT,SHORT,5.0068,2741,0.3163,0.6323,0.0514,0.5003
TRXUSDT,LONG,2.6505,5669,0.3449,0.5821,0.073,0.5924
TRXUSDT,SHORT,2.6505,5669,0.2824,0.6657,0.0519,0.4242
