symbol,tp_mult,sl_mult,reward_risk,n_labelable,long_frac,entropy_bits,long_tp_rate,long_sl_rate,short_tp_rate,short_sl_rate,barrier_balance,directional_spread_pct,mean_labeled_pnl_pct,exec_consistency,is_current_global
BCHUSDT,1.5,0.75,2.0,5727,0.4823,0.9991,0.3098,0.6733,0.3325,0.6464,0.4866,-0.1099,2.9143,0.6717,False
BCHUSDT,1.5,1.0,1.5,5727,0.4856,0.9994,0.3705,0.5935,0.3934,0.5682,0.6576,-0.2087,3.9359,0.8121,False
BCHUSDT,1.5,1.25,1.2,5727,0.4865,0.9995,0.4144,0.5273,0.4325,0.506,0.8195,-0.0057,4.8282,0.9139,False
BCHUSDT,2.0,0.75,2.667,5727,0.4845,0.9993,0.2502,0.7161,0.2661,0.6902,0.3671,-0.0766,2.9918,0.5804,False
BCHUSDT,2.0,1.0,2.0,5727,0.4901,0.9997,0.3024,0.6365,0.3167,0.6136,0.4953,-0.1671,4.0224,0.7143,True
BCHUSDT,2.0,1.25,1.6,5727,0.4903,0.9997,0.34,0.5691,0.3477,0.5483,0.6154,0.0705,4.8784,0.8151,False
BCHUSDT,2.5,0.75,3.333,5727,0.4861,0.9994,0.2032,0.7426,0.2094,0.7177,0.2826,0.027,2.9778,0.5238,False
BCHUSDT,2.5,1.0,2.5,5727,0.4889,0.9996,0.2464,0.6646,0.2462,0.6391,0.3778,0.024,3.9877,0.6541,False
BCHUSDT,2.5,1.25,2.0,5727,0.4889,0.9996,0.278,0.5961,0.2689,0.5734,0.4676,0.307,4.8023,0.7507,False
LDOUSDT,1.5,0.75,2.0,2741,0.4615,0.9957,0.2824,0.7129,0.363,0.6308,0.4803,-0.4466,3.7175,0.6541,False
LDOUSDT,1.5,1.0,1.5,2741,0.4699,0.9974,0.3429,0.6457,0.4217,0.5644,0.6319,-0.4472,4.9555,0.7807,False
LDOUSDT,1.5,1.25,1.2,2741,0.471,0.9976,0.3977,0.5775,0.4703,0.5042,0.8024,-0.2436,6.2624,0.8975,False
LDOUSDT,2.0,0.75,2.667,2741,0.4863,0.9995,0.2222,0.7567,0.2692,0.7023,0.3368,-0.6298,3.4098,0.5337,False
LDOUSDT,2.0,1.0,2.0,2741,0.4933,0.9999,0.2733,0.6914,0.3163,0.6323,0.4454,-0.7085,4.5866,0.6549,True
LDOUSDT,2.0,1.25,1.6,2741,0.4925,0.9998,0.3214,0.6195,0.3561,0.5659,0.5716,-0.5478,5.8891,0.7731,False
LDOUSDT,2.5,0.75,3.333,2741,0.4929,0.9999,0.1824,0.7815,0.2116,0.7318,0.2604,-0.6848,3.3854,0.4768,False
LDOUSDT,2.5,1.0,2.5,2741,0.5002,1.0,0.2247,0.7165,0.2455,0.6655,0.3403,-0.7003,4.4955,0.5892,False
LDOUSDT,2.5,1.25,2.0,2741,0.4962,1.0,0.2634,0.6479,0.2733,0.5998,0.4301,-0.4901,5.7196,0.699,False
TRXUSDT,1.5,0.75,2.0,5669,0.5389,0.9956,0.3597,0.6183,0.2976,0.6888,0.5028,0.1377,2.3201,0.6827,False
TRXUSDT,1.5,1.0,1.5,5669,0.5458,0.9939,0.4258,0.5343,0.3551,0.619,0.6771,-0.074,3.17,0.8238,False
TRXUSDT,1.5,1.25,1.2,5669,0.5458,0.9939,0.4699,0.4775,0.3951,0.5585,0.835,-0.2213,3.8521,0.9201,False
TRXUSDT,2.0,0.75,2.667,5669,0.5449,0.9942,0.2904,0.6638,0.2351,0.7342,0.3759,0.1414,2.3746,0.5867,False
TRXUSDT,2.0,1.0,2.0,5669,0.5505,0.9926,0.3449,0.5821,0.2824,0.6657,0.5027,-0.0558,3.2167,0.7174,True
TRXUSDT,2.0,1.25,1.6,5669,0.5518,0.9923,0.3815,0.5218,0.3133,0.605,0.6166,-0.179,3.8724,0.8116,False
TRXUSDT,2.5,0.75,3.333,5669,0.5475,0.9935,0.2367,0.6924,0.1857,0.7612,0.2907,0.2,2.4181,0.5287,False
TRXUSDT,2.5,1.0,2.5,5669,0.5537,0.9917,0.2798,0.6133,0.2207,0.6964,0.3821,0.0311,3.2205,0.6499,False
TRXUSDT,2.5,1.25,2.0,5669,0.5574,0.9905,0.3108,0.5505,0.2438,0.6363,0.4673,-0.0935,3.8528,0.7419,False
