symbol,baseline_concentration_p90_p50,optA_concentration_p90_p50,optB_concentration_p90_p50,optC_concentration_p90_p50,tp_hit_share,timeout_share
BTCUSDT,1.5355992155731073,1.6111118986837436,1.0,1.1374354660929045,0.5118151584106424,0.10274811832662349
ETHUSDT,1.5270821132089871,1.6554643854791302,1.0,1.1710462799253194,0.5153159460878698,0.10064764572028706
LINKUSDT,1.4402985617578286,1.5995174321850982,1.0,1.1828366882042096,0.5074152542372882,0.10858050847457627
LTCUSDT,1.6600088169214056,1.8286040822958767,1.0,1.223155278430054,0.5126035607262471,0.12550678653269876
DOTUSDT,1.6207683910613775,1.7961478000352609,1.0,1.2142710997421187,0.5098782678108162,0.10776292157254042
