symbol,month,n_labels,tp_hit_share,timeout_share,sl_opp_share,long_share,short_share,exit_entropy,w_baseline_p50,w_baseline_p95,w_baseline_max,w_optC_p50,w_optC_p95
BTCUSDT,2020-01,80,0.55,0.075,0.375,0.725,0.275,0.8908913577034255,2.3970217639945215,2.9738885873479135,3.017009311535034,1.0486962282896406,2.217595002589078
BTCUSDT,2020-02,87,0.632183908045977,0.04597701149425287,0.3218390804597701,0.4827586206896552,0.5172413793103449,0.7963652575376736,2.4022419012271055,2.939268448546201,3.2578256544647926,1.0247030429224415,1.1795381869541735
BTCUSDT,2020-03,93,0.45161290322580644,0.11827956989247312,0.43010752688172044,0.5483870967741935,0.45161290322580644,0.9743828250538903,3.1976623656334806,8.25592002771312,10.0,1.100143154605846,1.7223510482148425
BTCUSDT,2020-04,90,0.5333333333333333,0.05555555555555555,0.4111111111111111,0.8444444444444444,0.15555555555555556,0.8612674386237588,2.706602143287434,3.552701515946028,4.109248492447754,1.0544638209259865,1.9801904976182718
BTCUSDT,2020-05,93,0.5913978494623656,0.07526881720430108,0.3333333333333333,0.6559139784946236,0.34408602150537637,0.8715425085273136,2.9373638817484524,3.930356968279163,4.68538123821534,1.0357768207842257,2.212761210665283
BTCUSDT,2020-06,90,0.26666666666666666,0.23333333333333334,0.5,0.32222222222222224,0.6777777777777778,1.0386088352168543,1.7537044873173588,2.624533622746027,2.8871519720126635,1.1559734513256745,1.2991745370680914
BTCUSDT,2020-07,93,0.5053763440860215,0.08602150537634409,0.40860215053763443,0.7311827956989247,0.26881720430107525,0.9216237546219215,1.6775004170827352,2.4084041770586673,2.9080846494030577,1.0649927453557413,2.0441827173229443
BTCUSDT,2020-08,93,0.26881720430107525,0.08602150537634409,0.6451612903225806,0.44086021505376344,0.5591397849462365,0.8469209803740114,1.9349755852826132,2.8384939292280054,2.9915756882754216,1.021473191046088,2.0441827173229443
BTCUSDT,2020-09,90,0.3888888888888889,0.13333333333333333,0.4777777777777778,0.4444444444444444,0.5555555555555556,0.9888355933923911,2.1191986539232817,2.777633843342202,3.082712827520697,1.1251580278114834,1.6254554919242312
BTCUSDT,2020-10,93,0.7311827956989247,0.03225806451612903,0.23655913978494625,0.967741935483871,0.03225806451612903,0.680714602918175,2.061966947513499,2.7380413635065333,2.847577491664455,1.0029626113849683,1.293242156070707
BTCUSDT,2020-11,90,0.6333333333333333,0.0,0.36666666666666664,0.8,0.2,0.6571577614973405,2.7803406859211863,4.022352268182918,4.200908901742099,1.0244116277155524,1.1409777104711751
BTCUSDT,2020-12,93,0.6559139784946236,0.03225806451612903,0.3118279569892473,0.7634408602150538,0.23655913978494625,0.7507637764846102,2.857038314192404,3.757394324167817,3.8194049614446985,1.0188938479785548,1.1896641476221226
BTCUSDT,2021-01,93,0.5698924731182796,0.043010752688172046,0.3870967741935484,0.5483870967741935,0.45161290322580644,0.8231658302805465,4.769860951893911,5.940306156536935,7.434363522613361,1.0422539361373446,1.126366475792432
BTCUSDT,2021-02,84,0.6309523809523809,0.047619047619047616,0.32142857142857145,0.8095238095238095,0.19047619047619047,0.8003615102140409,3.8590190748099062,4.922069964827143,5.854128610189514,1.0250164517298506,1.179941002947823
BTCUSDT,2021-03,93,0.4946236559139785,0.13978494623655913,0.3655913978494624,0.5913978494623656,0.40860215053763443,0.991114506890376,3.484290876619684,4.592793479192358,4.716300185926728,1.1417919588433652,1.590317542939724
BTCUSDT,2021-04,90,0.5777777777777777,0.03333333333333333,0.3888888888888889,0.5666666666666667,0.43333333333333335,0.7976130882817315,2.794076437759343,4.4243194874926015,4.929552640384971,1.0398230088491083,1.1251580278114834
BTCUSDT,2021-05,93,0.45161290322580644,0.1827956989247312,0.3655913978494624,0.27956989247311825,0.7204301075268817,1.0375133785961954,3.286874865522974,5.3854774593588,6.061087383988848,1.1417919588433652,1.4194506537601588
BTCUSDT,2021-06,90,0.5333333333333333,0.08888888888888889,0.37777777777777777,0.43333333333333335,0.5666666666666667,0.9181492403972991,3.866710523807133,4.773884510218962,5.2819772224839685,1.0544638209259865,2.0061166059230615
BTCUSDT,2021-07,93,0.3333333333333333,0.22580645161290322,0.44086021505376344,0.44086021505376344,0.5591397849462365,1.063298103195105,2.5936154029548075,3.0781430645383705,4.545783450734307,1.1686621551256353,1.3136759128394755
BTCUSDT,2021-08,93,0.3333333333333333,0.10752688172043011,0.5591397849462365,0.7526881720430108,0.24731182795698925,0.9310497336348236,2.2406650395168546,3.7191563250481523,3.884539760273617,1.0456793336798595,1.8081728266436699
BTCUSDT,2021-09,90,0.5222222222222223,0.13333333333333333,0.34444444444444444,0.4888888888888889,0.5111111111111111,0.9750383323650618,2.5822131630390572,3.7877804765463248,4.037887673763098,1.058513407245123,1.6254554919242312
BTCUSDT,2021-10,93,0.5483870967741935,0.0967741935483871,0.3548387096774194,0.7311827956989247,0.26881720430107525,0.9231061813966921,2.9509125227143613,3.248894165532695,3.434097069171426,1.0492390605377673,1.913066111390014
BTCUSDT,2021-11,90,0.5777777777777777,0.044444444444444446,0.37777777777777777,0.35555555555555557,0.6444444444444445,0.8230751298006731,2.78004905919042,3.1928831532298645,3.3898981714063687,1.0398230088491083,1.132835226749275
BTCUSDT,2021-12,93,0.3870967741935484,0.1935483870967742,0.41935483870967744,0.34408602150537637,0.6559139784946236,1.0496717767488781,2.3810551158808053,3.4443613746039095,3.6438933665237236,1.126366475792432,1.3885996876582927
BTCUSDT,2022-01,93,0.41935483870967744,0.13978494623655913,0.44086021505376344,0.4946236559139785,0.5053763440860215,1.00055970196043,2.614631173057236,3.4691554657972477,4.350311540783011,1.106194690264289,1.590317542939724
BTCUSDT,2022-02,84,0.5833333333333334,0.023809523809523808,0.39285714285714285,0.4166666666666667,0.5833333333333334,0.7704568167369512,2.9405418830865564,3.867812688626108,4.078130858805531,1.0381497731831795,1.122521414034868
BTCUSDT,2022-03,93,0.6021505376344086,0.03225806451612903,0.3655913978494624,0.6774193548387096,0.3225806451612903,0.7840856288078561,2.6271235989653374,3.711228941770688,3.8355048154243168,1.0327117572689104,1.1417919588433652
BTCUSDT,2022-04,90,0.4888888888888889,0.08888888888888889,0.4222222222222222,0.2777777777777778,0.7222222222222222,0.9290524448253223,2.079858015240126,2.843613383623459,2.889792700557987,1.104550809610043,2.0061166059230615
BTCUSDT,2022-05,93,0.40860215053763443,0.2903225806451613,0.3010752688172043,0.3333333333333333,0.6666666666666666,1.086173732544382,2.1643777035720513,3.3653108016688185,4.121665666703883,1.2012902506112493,1.2137775464143856
BTCUSDT,2022-06,90,0.37777777777777777,0.2222222222222222,0.4,0.25555555555555554,0.7444444444444445,1.068503169303051,2.6920847395785987,5.105616266349858,5.716591609455727,1.132835226749275,1.3209266007251674
BTCUSDT,2022-07,93,0.6236559139784946,0.043010752688172046,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.7959922308391547,3.2518220472174755,3.7162825971472517,4.084916403857296,1.026898705774347,1.1686621551256353
