model,month,n_actual,n_eff_kish_baseline,n_eff_kish_uniform,n_eff_ratio_baseline_to_uniform
A,2020-01,160,145.61140758706856,160,0.9100712974191785
A,2020-02,174,152.0420966839611,174,0.8738051533560982
A,2020-03,186,147.83944231237507,186,0.7948357113568553
A,2020-04,180,162.58693902039752,180,0.9032607723355418
A,2020-05,186,165.88909819535013,186,0.8918768720180115
A,2020-06,180,151.4206633547674,180,0.8412259075264856
A,2020-07,186,150.4381455847002,186,0.8088072343263452
A,2020-08,186,154.60343458945013,186,0.8312012612336028
A,2020-09,180,143.12868502510136,180,0.7951593612505631
A,2020-10,186,168.00087270305522,186,0.9032304984035227
A,2020-11,180,160.01004074832068,180,0.8889446708240037
A,2020-12,186,170.6557633459856,186,0.9175041040106753
A,2021-01,186,168.2029945459861,186,0.9043171749784198
A,2021-02,168,146.28044277921484,168,0.8707169213048502
A,2021-03,186,157.05364914198228,186,0.8443744577525929
A,2021-04,180,155.36417961138022,180,0.8631343311743346
A,2021-05,186,151.57679301825905,186,0.8149289947218229
A,2021-06,180,160.19371065888743,180,0.8899650592160413
A,2021-07,186,167.11625733766851,186,0.8984745018154221
A,2021-08,186,151.94372150837359,186,0.8169017285396429
A,2021-09,180,159.5398827618733,180,0.8863326820104072
A,2021-10,186,165.99498724416495,186,0.8924461679793815
A,2021-11,180,163.59191315347368,180,0.9088439619637427
A,2021-12,186,156.64763915522533,186,0.8421916083614265
A,2022-01,186,163.7431134030391,186,0.8803393193711779
A,2022-02,168,153.3889596302532,168,0.91302952160865
A,2022-03,186,165.95923825913047,186,0.89225396913511
A,2022-04,180,163.0682457831846,180,0.9059346987954701
A,2022-05,186,153.131102005856,186,0.8232854946551398
A,2022-06,180,147.01416272684287,180,0.8167453484824604
A,2022-07,186,165.2834187108619,186,0.8886205307035586
A,2022-08,186,163.46480474317858,186,0.8788430362536482
A,2022-09,180,142.79390920054115,180,0.7932994955585619
A,2022-10,186,161.13508621660887,186,0.8663176678312304
A,2022-11,180,152.46760276125593,180,0.8470422375625329
A,2022-12,186,149.37239517910268,186,0.8030773934360359
A,2023-01,186,159.17385057355108,186,0.8557733901803821
A,2023-02,168,152.375292914688,168,0.9069957911588572
A,2023-03,186,158.72882504669175,186,0.8533807798209234
A,2023-04,180,161.52897141740252,180,0.897383174541125
A,2023-05,186,150.83918874292604,186,0.8109633803383121
A,2023-06,180,163.67371594905487,180,0.9092984219391937
