symbol,n_labels,w_baseline_p10,w_baseline_p50,w_baseline_p90,w_baseline_p99,w_baseline_max,w_optA_p50,w_optA_p90,w_optB_p50,w_optB_p90,w_optC_p50,w_optC_p90,tp_share,timeout_share,sl_opp_share
BTCUSDT,5713,1.40815209626652,2.2185625373334665,3.4068228920291537,5.2477097308562355,10.0,3.2983662569280194,5.314037122753694,1.0,1.0,1.0943868158087906,1.2447943779254014,0.5118151584106424,0.10274811832662349,0.3854367232627341
ETHUSDT,5713,1.3947521759645802,2.1778336353097156,3.325730790026371,4.842270227894195,10.0,2.6011395547242033,4.306093894506962,1.0,1.0,1.1039592542752479,1.292787377908159,0.5153159460878698,0.10064764572028706,0.38403640819184315
LINKUSDT,5664,1.4127380558384248,2.06118273388064,2.9687185271283547,4.041582203978991,10.0,3.4574235270732045,5.530209202000478,1.0,1.0,1.0928165007102253,1.2926234505149963,0.5074152542372882,0.10858050847457627,0.3840042372881356
LTCUSDT,5673,1.5170629372863662,2.6949038387703044,4.473564133114047,6.2587740080435585,10.0,3.271527270888092,5.982328122888253,1.0,1.0,1.0952635719895207,1.3396774193511376,0.5126035607262471,0.12550678653269876,0.3618896527410541
DOTUSDT,5011,1.6172752385309885,2.6436089690827087,4.284677855415609,6.118119692825764,10.0,3.0726806620025706,5.518988611266806,1.0,1.0,1.0981788767669696,1.3334868724053928,0.5098782678108162,0.10776292157254042,0.3823588106166434
