symbol,open_time,close_time,net_weighted,net_raw,weight,month,regime
ETHUSDT,1641023999999,1641427199999,-4.301200,-4.301200,1.0000,2022-01,BTC_DOWN
BTCUSDT,1641023999999,1641427199999,8.315400,8.315400,1.0000,2022-01,BTC_DOWN
XRPUSDT,1641023999999,1641427199999,11.025300,11.025300,1.0000,2022-01,BTC_DOWN
XRPUSDT,1641513599999,1642118400000,1.364000,1.364000,1.0000,2022-01,BTC_DOWN
ETHUSDT,1641772799999,1641830399999,-6.017700,-6.017700,1.0000,2022-01,BTC_DOWN
BTCUSDT,1641772799999,1642003199999,-4.593900,-4.593900,1.0000,2022-01,BTC_DOWN
ETHUSDT,1641916799999,1642521600000,-0.629400,-0.629400,1.0000,2022-01,BTC_DOWN
BTCUSDT,1642089599999,1642694400000,-0.345000,-0.345000,1.0000,2022-01,BTC_DOWN
XRPUSDT,1642204799999,1642751999999,10.106900,10.106900,1.0000,2022-01,BTC_DOWN
ETHUSDT,1642636799999,1642751999999,-4.696200,-4.696200,1.0000,2022-01,BTC_FLAT
XRPUSDT,1642982399999,1643039999999,-8.454700,-8.454700,1.0000,2022-01,BTC_DOWN
ETHUSDT,1643097599999,1643702400000,14.709700,14.709700,1.0000,2022-02,BTC_DOWN
BTCUSDT,1643097599999,1643702400000,6.520400,6.520400,1.0000,2022-02,BTC_DOWN
XRPUSDT,1643126399999,1643731200000,3.542700,3.542700,1.0000,2022-02,BTC_DOWN
ETHUSDT,1643788799999,1643903999999,-5.795800,-5.795800,1.0000,2022-02,BTC_UP
BTCUSDT,1643788799999,1643990399999,-4.217100,-4.217100,1.0000,2022-02,BTC_UP
XRPUSDT,1643817599999,1644019199999,-4.844600,-4.844600,1.0000,2022-02,BTC_UP
ETHUSDT,1644019199999,1644278399999,-5.921200,-5.921200,1.0000,2022-02,BTC_UP
XRPUSDT,1644105599999,1644220799999,-4.783500,-4.783500,1.0000,2022-02,BTC_UP
BTCUSDT,1644220799999,1644825600000,-1.088900,-1.088900,1.0000,2022-02,BTC_UP
ETHUSDT,1644364799999,1644508799999,-5.181900,-5.181900,1.0000,2022-02,BTC_UP
XRPUSDT,1644508799999,1645113600000,7.203200,7.203200,1.0000,2022-02,BTC_UP
ETHUSDT,1644595199999,1645200000000,9.658900,9.658900,1.0000,2022-02,BTC_UP
BTCUSDT,1644911999999,1645113599999,-3.906400,-3.906400,1.0000,2022-02,BTC_FLAT
BTCUSDT,1645199999999,1645372799999,-4.522500,-4.522500,1.0000,2022-02,BTC_DOWN
XRPUSDT,1645199999999,1645487999999,-7.640100,-7.640100,1.0000,2022-02,BTC_DOWN
ETHUSDT,1645286399999,1645689599999,11.769300,11.769300,1.0000,2022-02,BTC_DOWN
BTCUSDT,1645516799999,1645689599999,-5.148200,-5.148200,1.0000,2022-02,BTC_DOWN
XRPUSDT,1645574399999,1646121599999,-8.874000,-8.874000,1.0000,2022-03,BTC_DOWN
ETHUSDT,1645775999999,1645833599999,-8.313000,-8.313000,1.0000,2022-02,BTC_DOWN
BTCUSDT,1645775999999,1646092799999,12.451100,12.451100,1.0000,2022-02,BTC_DOWN
ETHUSDT,1645919999999,1646150399999,-7.392000,-7.392000,1.0000,2022-03,BTC_DOWN
XRPUSDT,1646207999999,1646812800000,2.282800,2.282800,1.0000,2022-03,BTC_UP
ETHUSDT,1646265599999,1646380799999,-6.755900,-6.755900,1.0000,2022-03,BTC_UP
BTCUSDT,1646380799999,1646985600000,5.490500,5.490500,1.0000,2022-03,BTC_UP
XRPUSDT,1646899199999,1647043199999,-6.030600,-6.030600,1.0000,2022-03,BTC_UP
BTCUSDT,1647071999999,1647417599999,-5.194600,-5.194600,1.0000,2022-03,BTC_DOWN
XRPUSDT,1647129599999,1647734400000,-4.416800,-4.416800,1.0000,2022-03,BTC_DOWN
ETHUSDT,1647273599999,1647417599999,-4.781000,-4.781000,1.0000,2022-03,BTC_DOWN
BTCUSDT,1647503999999,1647935999999,-5.243400,-5.243400,1.0000,2022-03,BTC_UP
XRPUSDT,1647820799999,1647907199999,-3.805400,-3.805400,1.0000,2022-03,BTC_UP
XRPUSDT,1647993599999,1648483199999,7.731200,7.731200,1.0000,2022-03,BTC_UP
BTCUSDT,1648022399999,1648137599999,-3.674700,-3.674700,1.0000,2022-03,BTC_UP
BTCUSDT,1648223999999,1648425599999,-3.434800,-3.434800,1.0000,2022-03,BTC_UP
BTCUSDT,1648540799999,1648799999999,5.931900,5.931900,1.0000,2022-04,BTC_UP
XRPUSDT,1648569599999,1648742399999,-4.197200,-4.197200,1.0000,2022-03,BTC_UP
ETHUSDT,1648799999999,1648886399999,7.384600,7.384600,1.0000,2022-04,BTC_UP
BTCUSDT,1648915199999,1649231999999,-3.426600,-3.426600,1.0000,2022-04,BTC_UP
ETHUSDT,1648972799999,1649231999999,-3.834800,-3.834800,1.0000,2022-04,BTC_UP
XRPUSDT,1648972799999,1649231999999,-5.055300,-5.055300,1.0000,2022-04,BTC_UP
ETHUSDT,1649318399999,1649692799999,-4.522000,-4.522000,1.0000,2022-04,BTC_DOWN
BTCUSDT,1649318399999,1649663999999,-3.782400,-3.782400,1.0000,2022-04,BTC_DOWN
XRPUSDT,1649318399999,1649721599999,9.995300,9.995300,1.0000,2022-04,BTC_DOWN
ETHUSDT,1649779199999,1650268799999,-4.211000,-4.211000,1.0000,2022-04,BTC_DOWN
XRPUSDT,1649807999999,1650009599999,9.332200,9.332200,1.0000,2022-04,BTC_DOWN
BTCUSDT,1649894399999,1649980799999,-3.813400,-3.813400,1.0000,2022-04,BTC_DOWN
BTCUSDT,1650067199999,1650268799999,-3.404100,-3.404100,1.0000,2022-04,BTC_DOWN
XRPUSDT,1650095999999,1650268799999,-4.850600,-4.850600,1.0000,2022-04,BTC_DOWN
ETHUSDT,1650355199999,1650700799999,-3.935900,-3.935900,1.0000,2022-04,BTC_FLAT
BTCUSDT,1650355199999,1650470399999,-3.468000,-3.468000,1.0000,2022-04,BTC_FLAT
XRPUSDT,1650355199999,1650585599999,-4.535100,-4.535100,1.0000,2022-04,BTC_FLAT
BTCUSDT,1650614399999,1651017599999,7.111500,7.111500,1.0000,2022-04,BTC_FLAT
XRPUSDT,1650671999999,1650873599999,8.856000,8.856000,1.0000,2022-04,BTC_FLAT
ETHUSDT,1650787199999,1650873599999,-3.565900,-3.565900,1.0000,2022-04,BTC_FLAT
ETHUSDT,1650959999999,1650988799999,-4.044700,-4.044700,1.0000,2022-04,BTC_FLAT
XRPUSDT,1650959999999,1651247999999,9.818500,9.818500,1.0000,2022-04,BTC_FLAT
ETHUSDT,1651103999999,1651363199999,-4.665900,-4.665900,1.0000,2022-04,BTC_FLAT
BTCUSDT,1651132799999,1651737600000,-0.659900,-0.659900,1.0000,2022-05,BTC_FLAT
XRPUSDT,1651334399999,1651708799999,-5.230800,-5.230800,1.0000,2022-05,BTC_DOWN
ETHUSDT,1651651199999,1651708799999,-3.880000,-3.880000,1.0000,2022-05,BTC_FLAT
XRPUSDT,1651795199999,1652111999999,11.982500,11.982500,1.0000,2022-05,BTC_DOWN
ETHUSDT,1651823999999,1651967999999,-4.671500,-4.671500,1.0000,2022-05,BTC_DOWN
BTCUSDT,1651823999999,1651996799999,-4.817100,-4.817100,1.0000,2022-05,BTC_DOWN
XRPUSDT,1652227199999,1652284799999,16.839600,16.839600,1.0000,2022-05,BTC_DOWN
BTCUSDT,1652428799999,1653033600000,0.162800,0.162800,1.0000,2022-05,BTC_DOWN
ETHUSDT,1652515199999,1653120000000,-2.753100,-2.753100,1.0000,2022-05,BTC_DOWN
XRPUSDT,1652601599999,1653206400000,-1.623800,-1.623800,1.0000,2022-05,BTC_DOWN
BTCUSDT,1653119999999,1653724800000,-1.936400,-1.936400,1.0000,2022-05,BTC_DOWN
ETHUSDT,1653206399999,1653321599999,-5.627800,-5.627800,1.0000,2022-05,BTC_FLAT
XRPUSDT,1653292799999,1653580799999,11.388100,11.388100,1.0000,2022-05,BTC_FLAT
ETHUSDT,1653407999999,1653580799999,-5.372900,-5.372900,1.0000,2022-05,BTC_FLAT
XRPUSDT,1653667199999,1653955199999,-6.003100,-6.003100,1.0000,2022-05,BTC_FLAT
ETHUSDT,1653724799999,1653955199999,12.980100,12.980100,1.0000,2022-05,BTC_DOWN
