symbol,rank,feature,gain,gain_pct_of_top,is_candidate
BCHUSDT,1,ret_kurt_200,1514.9912025928497,1.0,False
BCHUSDT,2,hurst_100,1368.0604372620583,0.9030154333046125,False
BCHUSDT,3,ret_skew_50,1195.9298025369644,0.7893971928616985,False
BCHUSDT,4,ret_skew_200,1167.5936217308044,0.7706933345437996,False
BCHUSDT,5,hurst_diff_100_50,1131.426863193512,0.7468207480394065,False
BCHUSDT,6,ret_kurt_50,1099.5723904371262,0.725794571318467,False
BCHUSDT,7,sym_vs_btc_ret_7d,1023.0036662518978,0.6752538658317395,False
BCHUSDT,8,ema_spread_atr_20,1018.5566918849945,0.6723185521749391,False
BCHUSDT,9,btc_ret_14d,1015.8411260843277,0.6705260890926326,False
BCHUSDT,10,range_realized_vol_50,1004.3259224146605,0.6629252504541246,False
BCHUSDT,11,vwap_dev_20,955.23060297966,0.6305189108324981,False
BCHUSDT,12,max_dd_window_50,916.8348790407181,0.6051750514930978,False
BCHUSDT,13,ret_autocorr_lag1_50,853.7438805103302,0.5635305862167252,False
BCHUSDT,14,regime_momentum_signed_5d,831.6243630647659,0.548930159885729,False
BCHUSDT,15,C4_autocorr_signed_hurst,44.2699009180069,0.029221226395401274,True
LDOUSDT,1,ret_kurt_200,2826.1182544231415,1.0,False
LDOUSDT,2,max_dd_window_50,2123.411835193634,0.75135278995148,False
LDOUSDT,3,ret_skew_200,2026.1851788163185,0.7169498925408191,False
LDOUSDT,4,range_realized_vol_50,1701.7404752969742,0.602147653458446,False
LDOUSDT,5,ema_spread_atr_20,1659.8820281028748,0.5873363669425379,False
LDOUSDT,6,hurst_100,1360.9822056293488,0.4815729856665705,False
LDOUSDT,7,ret_skew_50,1233.268121600151,0.43638234871098197,False
LDOUSDT,8,ret_kurt_50,1035.1173042058945,0.36626822058342334,False
LDOUSDT,9,ret_autocorr_lag1_50,1031.4244064092636,0.36496151737280885,False
LDOUSDT,10,sym_vs_btc_ret_7d,863.5639660432935,0.305565403957083,False
LDOUSDT,11,vwap_dev_20,698.3077784776688,0.24709078517317923,False
LDOUSDT,12,btc_ret_14d,665.4078004360199,0.23544938340587623,False
LDOUSDT,13,hurst_diff_100_50,527.8930419683456,0.18679085390080308,False
LDOUSDT,14,regime_momentum_signed_5d,452.1584401130676,0.15999275310061672,False
LDOUSDT,15,C4_autocorr_signed_hurst,83.06414079666138,0.029391601241971446,True
TRXUSDT,1,range_realized_vol_50,4390.989891052246,1.0,False
TRXUSDT,2,ret_skew_200,4285.269068837166,0.9759232371656075,False
TRXUSDT,3,ret_kurt_200,3773.6836335659027,0.8594152405715483,False
TRXUSDT,4,max_dd_window_50,3627.066962122917,0.8260248946402688,False
TRXUSDT,5,ret_autocorr_lag1_50,3150.57284784317,0.717508563220166,False
TRXUSDT,6,ret_skew_50,2679.971466064453,0.6103342372811137,False
TRXUSDT,7,ema_spread_atr_20,2570.882607460022,0.5854904409365292,False
TRXUSDT,8,ret_kurt_50,1463.39577293396,0.3332724076445722,False
TRXUSDT,9,hurst_100,1305.1887862682343,0.2972424939824815,False
TRXUSDT,10,btc_ret_14d,1286.8370998501778,0.2930630977931501,False
TRXUSDT,11,sym_vs_btc_ret_7d,1190.329441189766,0.27108453235462093,False
TRXUSDT,12,hurst_diff_100_50,931.8287303447723,0.21221381817425938,False
TRXUSDT,13,vwap_dev_20,880.703943490982,0.20057070622859766,False
TRXUSDT,14,regime_momentum_signed_5d,733.2419362068176,0.16698784429018698,False
TRXUSDT,15,C4_autocorr_signed_hurst,162.73545050621033,0.03706122185291864,True
