scope,baseline_14f_auc,with_15f_auc,auc_lift,base_per_fold,plus_per_fold,lift_pass_003
BCHUSDT,0.5045707502038767,0.5006793347035277,-0.0038914155003489936,+0.493;+0.532;+0.523;+0.477;+0.499,+0.508;+0.514;+0.513;+0.467;+0.501,False
LDOUSDT,0.5207043766583637,0.5101242707304265,-0.010580105927937122,+0.532;+0.588;+0.464;+0.456;+0.564,+0.539;+0.563;+0.435;+0.441;+0.573,False
TRXUSDT,0.4805653794662662,0.48879159574662817,0.008226216280361964,+0.481;+0.497;+0.419;+0.447;+0.559,+0.511;+0.550;+0.444;+0.430;+0.509,True
POOLED,0.4890796672167495,0.497173169388029,0.00809350217127952,+0.562;+0.449;+0.455;+0.452;+0.527,+0.571;+0.445;+0.464;+0.470;+0.535,True
