symbol,candidate,n_rows,n_folds,observed_auc,per_fold,g1_pass
BCHUSDT,C1_vwap_signed_hurst,5483,5,0.4975057837660157,+0.467;+0.520;+0.527;+0.480;+0.494,False
BCHUSDT,C2_ema_signed_hurst,5483,5,0.5022700982168863,+0.495;+0.468;+0.476;+0.581;+0.491,False
BCHUSDT,C3_ema_signed_volregime,5483,5,0.5023541834700433,+0.500;+0.480;+0.504;+0.527;+0.501,False
BCHUSDT,C4_autocorr_signed_hurst,5483,5,0.5124968424354343,+0.555;+0.453;+0.534;+0.500;+0.520,True
BCHUSDT,C5_symvsbtc_signed_btctrend,5483,5,0.48738506084252836,+0.479;+0.470;+0.499;+0.494;+0.495,False
BCHUSDT,C6_vwap_signed_kurt,5483,5,0.5061437726016582,+0.498;+0.520;+0.518;+0.491;+0.504,False
LDOUSDT,C1_vwap_signed_hurst,2497,5,0.5385047870381564,+0.572;+0.547;+0.496;+0.538;+0.540,True
LDOUSDT,C2_ema_signed_hurst,2497,5,0.5383971275059168,+0.438;+0.597;+0.606;+0.499;+0.552,True
LDOUSDT,C3_ema_signed_volregime,2497,5,0.507863197168847,+0.462;+0.499;+0.628;+0.473;+0.478,False
LDOUSDT,C4_autocorr_signed_hurst,2497,5,0.5042390905433247,+0.584;+0.425;+0.479;+0.579;+0.455,False
LDOUSDT,C5_symvsbtc_signed_btctrend,2497,5,0.5150798761578876,+0.478;+0.523;+0.569;+0.463;+0.542,True
LDOUSDT,C6_vwap_signed_kurt,2497,5,0.49573112442783335,+0.511;+0.467;+0.542;+0.539;+0.419,False
TRXUSDT,C1_vwap_signed_hurst,5425,5,0.4863989433224646,+0.477;+0.536;+0.533;+0.452;+0.435,False
TRXUSDT,C2_ema_signed_hurst,5425,5,0.5367387119697663,+0.615;+0.555;+0.490;+0.516;+0.507,True
TRXUSDT,C3_ema_signed_volregime,5425,5,0.49953610455398634,+0.521;+0.479;+0.600;+0.494;+0.403,False
TRXUSDT,C4_autocorr_signed_hurst,5425,5,0.5463326346385852,+0.496;+0.517;+0.619;+0.540;+0.561,True
TRXUSDT,C5_symvsbtc_signed_btctrend,5425,5,0.5132366994046136,+0.496;+0.480;+0.521;+0.540;+0.530,True
TRXUSDT,C6_vwap_signed_kurt,5425,5,0.48976143185187465,+0.461;+0.520;+0.548;+0.489;+0.431,False
