symbol,candidate,n_rows,rank_of_candidate,candidate_gain,top_feature_gain,candidate_gain_pct_of_top,passes_rank_5,passes_gain_30pct
BCHUSDT,C1_vwap_signed_hurst,5483,15,106.13471007347107,1520.1666783094406,0.06981781115706484,False,False
BCHUSDT,C2_ema_signed_hurst,5483,15,18.50207018852234,1502.9925711154938,0.01231015411792118,False,False
BCHUSDT,C3_ema_signed_volregime,5483,10,914.820140182972,1449.1429520845413,0.6312835727262347,False,True
BCHUSDT,C4_autocorr_signed_hurst,5483,15,44.2699009180069,1514.9912025928497,0.029221226395401274,False,False
BCHUSDT,C5_symvsbtc_signed_btctrend,5483,15,512.7644723057747,1380.154214143753,0.3715269402875341,False,True
BCHUSDT,C6_vwap_signed_kurt,5483,15,609.7264697551727,1469.3857815265656,0.41495329369644457,False,True
LDOUSDT,C1_vwap_signed_hurst,2497,15,93.06772184371948,2820.7984459400177,0.03299339659580148,False,False
LDOUSDT,C2_ema_signed_hurst,2497,15,80.27080821990967,2754.765883922577,0.02913888569928496,False,False
LDOUSDT,C3_ema_signed_volregime,2497,9,1023.3499385714531,2712.519317626953,0.3772691799543498,False,True
LDOUSDT,C4_autocorr_signed_hurst,2497,15,83.06414079666138,2826.1182544231415,0.029391601241971446,False,False
LDOUSDT,C5_symvsbtc_signed_btctrend,2497,14,422.5279208421707,2717.022922873497,0.1555113566709659,False,False
LDOUSDT,C6_vwap_signed_kurt,2497,15,261.7521027624607,2878.897337913513,0.09092095758863221,False,False
TRXUSDT,C1_vwap_signed_hurst,5425,15,96.22186040878296,4412.087989807129,0.021808690268887685,False,False
TRXUSDT,C2_ema_signed_hurst,5425,15,130.90074920654297,4341.494241952896,0.030151082072531102,False,False
TRXUSDT,C3_ema_signed_volregime,5425,8,1906.446932554245,4262.57444858551,0.4472524657456432,False,True
TRXUSDT,C4_autocorr_signed_hurst,5425,15,162.73545050621033,4390.989891052246,0.03706122185291864,False,False
TRXUSDT,C5_symvsbtc_signed_btctrend,5425,15,406.62638807296753,4463.687794089317,0.0910965118598595,False,False
TRXUSDT,C6_vwap_signed_kurt,5425,15,511.29673957824707,4435.702804118395,0.11526848442224892,False,False
