scope,baseline_14f_auc,with_15f_auc,auc_lift,base_per_fold,plus1_per_fold,lift_pass_per_sym_003
BCHUSDT,0.5045707502038767,0.5091414397049746,0.004570689501097958,+0.493;+0.532;+0.523;+0.477;+0.499,+0.514;+0.531;+0.521;+0.472;+0.508,True
LDOUSDT,0.5207043766583637,0.5115209411373774,-0.009183435520986216,+0.532;+0.588;+0.464;+0.456;+0.564,+0.518;+0.576;+0.433;+0.430;+0.600,False
TRXUSDT,0.4805653794662662,0.47628768747172945,-0.004277691994536759,+0.481;+0.497;+0.419;+0.447;+0.559,+0.483;+0.506;+0.415;+0.416;+0.562,False
POOLED,0.4890796672167495,0.49004119553114317,0.000961528314393667,+0.562;+0.449;+0.455;+0.452;+0.527,+0.573;+0.451;+0.455;+0.433;+0.539,False
