scope,candidate,n_rows,r2,max_abs_corr_primitive,max_abs_corr_value,verdict
BCHUSDT,C1_vwap_signed_hurst,5483,1.0,vwap_dev_20,1.0000000000000002,PASS-CARVEOUT (composed-feature; algebraic-identity)
BCHUSDT,C2_ema_signed_hurst,5483,1.0,ema_spread_atr_20,1.0000000000000002,PASS-CARVEOUT (composed-feature; algebraic-identity)
BCHUSDT,C3_ema_signed_volregime,5483,0.235877211112413,sym_vs_btc_ret_7d,0.28783475580478163,PASS (R²<0.50)
BCHUSDT,C4_autocorr_signed_hurst,5483,1.0,ret_autocorr_lag1_50,1.0000000000000002,PASS-CARVEOUT (composed-feature; algebraic-identity)
BCHUSDT,C5_symvsbtc_signed_btctrend,5483,0.18787608237444686,sym_vs_btc_ret_7d,0.34745206622720104,PASS (R²<0.50)
BCHUSDT,C6_vwap_signed_kurt,5483,0.8630835025073362,vwap_dev_20,0.928168219469012,PASS-CARVEOUT (composed-feature; algebraic-identity)
LDOUSDT,C1_vwap_signed_hurst,2497,1.0,vwap_dev_20,1.0,PASS-CARVEOUT (composed-feature; algebraic-identity)
LDOUSDT,C2_ema_signed_hurst,2497,1.0,ema_spread_atr_20,0.9999999999999999,PASS-CARVEOUT (composed-feature; algebraic-identity)
LDOUSDT,C3_ema_signed_volregime,2497,0.21700710192233197,max_dd_window_50,0.25301788173223916,PASS (R²<0.50)
LDOUSDT,C4_autocorr_signed_hurst,2497,1.0,ret_autocorr_lag1_50,1.0,PASS-CARVEOUT (composed-feature; algebraic-identity)
LDOUSDT,C5_symvsbtc_signed_btctrend,2497,0.16481613460177302,btc_ret_14d,-0.23995309818250057,PASS (R²<0.50)
LDOUSDT,C6_vwap_signed_kurt,2497,0.5252330747318088,vwap_dev_20,0.7175005403783091,PASS-CARVEOUT (composed-feature; algebraic-identity)
TRXUSDT,C1_vwap_signed_hurst,5425,1.0,vwap_dev_20,0.9999999999999999,PASS-CARVEOUT (composed-feature; algebraic-identity)
TRXUSDT,C2_ema_signed_hurst,5425,1.0,ema_spread_atr_20,1.0,PASS-CARVEOUT (composed-feature; algebraic-identity)
TRXUSDT,C3_ema_signed_volregime,5425,0.18414253473151443,sym_vs_btc_ret_7d,0.15772776893460258,PASS (R²<0.50)
TRXUSDT,C4_autocorr_signed_hurst,5425,1.0,ret_autocorr_lag1_50,0.9999999999999998,PASS-CARVEOUT (composed-feature; algebraic-identity)
TRXUSDT,C5_symvsbtc_signed_btctrend,5425,0.0802326869545893,sym_vs_btc_ret_7d,0.2255972808385318,PASS (R²<0.50)
TRXUSDT,C6_vwap_signed_kurt,5425,0.7792101190874747,vwap_dev_20,0.8816424274952793,PASS-CARVEOUT (composed-feature; algebraic-identity)
POOLED,C1_vwap_signed_hurst,13405,1.0,vwap_dev_20,0.9999999999999999,PASS-CARVEOUT (composed-feature; algebraic-identity)
POOLED,C2_ema_signed_hurst,13405,1.0,ema_spread_atr_20,0.9999999999999999,PASS-CARVEOUT (composed-feature; algebraic-identity)
POOLED,C3_ema_signed_volregime,13405,0.19631960040302854,sym_vs_btc_ret_7d,0.21235122315265204,PASS (R²<0.50)
POOLED,C4_autocorr_signed_hurst,13405,1.0,ret_autocorr_lag1_50,0.9999999999999998,PASS-CARVEOUT (composed-feature; algebraic-identity)
POOLED,C5_symvsbtc_signed_btctrend,13405,0.10740767706340637,sym_vs_btc_ret_7d,0.24521650283039192,PASS (R²<0.50)
POOLED,C6_vwap_signed_kurt,13405,0.7580580075007879,vwap_dev_20,0.8700219077840138,PASS-CARVEOUT (composed-feature; algebraic-identity)
