symbol,adf_pvalue
BTCUSDT,2.0252931866427512e-15
ETHUSDT,6.078631869525376e-17
LINKUSDT,5.237361855568774e-18
LTCUSDT,8.59204025189021e-19
DOTUSDT,1.5247821078322907e-13
