symbol,tail_n,BASE_acc,alpha032_acc,d_acc,BASE_pnl,alpha032_pnl,d_pnl
BCHUSDT,541,0.5786,0.6377,0.0591,140.509,517.1,376.591
LDOUSDT,450,0.5511,0.5667,0.0156,193.427,254.342,60.914
TRXUSDT,541,0.5823,0.5712,-0.0111,512.162,347.46,-164.702
