symbol,is_rows,is_first,is_last,long_label_frac
BCHUSDT,3567,2021-12-21,2025-03-23,0.4558
LDOUSDT,581,2024-09-11,2025-03-23,0.537
TRXUSDT,3509,2022-01-04,2025-03-23,0.5526
