symbol,alpha,max_abs_diff_overlap,nan_pattern_mismatch,past_only_ok
BCHUSDT,alpha006,0.0,0,True
BCHUSDT,alpha012,0.0,0,True
BCHUSDT,alpha023,0.0,0,True
BCHUSDT,alpha024,0.0,0,True
BCHUSDT,alpha028,0.0,0,True
BCHUSDT,alpha032,0.0,0,True
BCHUSDT,alpha034,0.0,0,True
BCHUSDT,alpha035,0.0,0,True
BCHUSDT,alpha043,0.0,0,True
BCHUSDT,alpha046,0.0,0,True
BCHUSDT,alpha049,0.0,0,True
BCHUSDT,alpha051,0.0,0,True
BCHUSDT,alpha053,0.0,0,True
BCHUSDT,alpha054,0.0,0,True
BCHUSDT,alpha068,0.0,0,True
BCHUSDT,alpha084,0.0,0,True
BCHUSDT,alpha101,0.0,0,True
BCHUSDT,alpha053_regime_signed,0.0,0,True
LDOUSDT,alpha006,0.0,0,True
LDOUSDT,alpha012,0.0,0,True
LDOUSDT,alpha023,0.0,0,True
LDOUSDT,alpha024,0.0,0,True
LDOUSDT,alpha028,0.0,0,True
LDOUSDT,alpha032,0.0,0,True
LDOUSDT,alpha034,0.0,0,True
LDOUSDT,alpha035,0.0,0,True
LDOUSDT,alpha043,0.0,0,True
LDOUSDT,alpha046,0.0,0,True
LDOUSDT,alpha049,0.0,0,True
LDOUSDT,alpha051,0.0,0,True
LDOUSDT,alpha053,0.0,0,True
LDOUSDT,alpha054,0.0,0,True
LDOUSDT,alpha068,0.0,0,True
LDOUSDT,alpha084,0.0,0,True
LDOUSDT,alpha101,0.0,0,True
LDOUSDT,alpha053_regime_signed,0.0,0,True
TRXUSDT,alpha006,0.0,0,True
TRXUSDT,alpha012,0.0,0,True
TRXUSDT,alpha023,0.0,0,True
TRXUSDT,alpha024,0.0,0,True
TRXUSDT,alpha028,0.0,0,True
TRXUSDT,alpha032,0.0,0,True
TRXUSDT,alpha034,0.0,0,True
TRXUSDT,alpha035,0.0,0,True
TRXUSDT,alpha043,0.0,0,True
TRXUSDT,alpha046,0.0,0,True
TRXUSDT,alpha049,0.0,0,True
TRXUSDT,alpha051,0.0,0,True
TRXUSDT,alpha053,0.0,0,True
TRXUSDT,alpha054,0.0,0,True
TRXUSDT,alpha068,0.0,0,True
TRXUSDT,alpha084,0.0,0,True
TRXUSDT,alpha101,0.0,0,True
TRXUSDT,alpha053_regime_signed,0.0,0,True
