alpha,dShACC_mean,dShACC_ci_lo,dShACC_ci_hi,dPnL_mean,importance_share,n_tail_rows,importance_above_parity
alpha032,0.01373,-0.0085,0.03987,0.2214,0.0325,1530,False
alpha043,0.01242,-0.00719,0.03595,0.1653,0.0165,1530,False
alpha034,0.00784,-0.01176,0.02943,0.2347,0.0106,1530,False
alpha023,0.00588,-0.01111,0.02484,0.1859,0.0065,1530,False
alpha051,0.00392,-0.01765,0.0268,0.0597,0.009,1530,False
alpha028,0.00261,-0.01832,0.02353,0.0657,0.0136,1530,False
alpha101,-0.00131,-0.01699,0.01569,0.0894,0.0087,1530,False
alpha049,-0.00196,-0.02288,0.0183,0.0565,0.0085,1530,False
alpha084,-0.00392,-0.02353,0.0144,-0.0145,0.0121,1530,False
alpha012,-0.00588,-0.02747,0.01699,-0.0101,0.0106,1530,False
alpha046,-0.00588,-0.02288,0.01307,0.1044,0.0098,1530,False
alpha024,-0.00654,-0.03595,0.02353,-0.0124,0.0576,1530,False
alpha006,-0.00784,-0.02614,0.01242,-0.053,0.0343,1530,False
alpha054,-0.00784,-0.02876,0.01242,0.0916,0.0086,1530,False
alpha053_regime_signed,-0.01176,-0.03333,0.0098,-0.0911,0.0064,1530,False
alpha053,-0.01176,-0.03333,0.0098,-0.0911,0.0064,1530,False
alpha035,-0.01503,-0.03791,0.01046,0.0114,0.0137,1530,False
alpha068,-0.01895,-0.04379,0.00458,-0.0113,0.013,1530,False
